step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.108935,hybla,hybla,0.99,988.485,932.269,65535.0,0.0,-97.8585
1,0.1768,cubic,cubic,1.07,980.856,951.475,65535.0,0.0,-97.0156
2,0.280995,vegas,vegas,1.023,1072.463,1013.764,65535.0,0.0,-106.22330000000001
3,0.400889,veno,veno,1.057,1128.941,1076.367,65535.0,0.0,-111.8371
4,0.478241,bbr,bbr,1.021,1205.997,1114.458,65535.0,0.0,-119.57870000000001
5,0.560522,westwood,westwood,0.984,1281.698,1179.367,65535.0,0.0,-127.18580000000001
6,1.120946,cubic,cubic,0.968,1800.614,1284.875,65535.0,0.0,-179.09340000000003
7,1.355894,hybla,hybla,0.839,1930.726,1743.135,69.0,0.0,-192.23360000000002
8,1.539026,vegas,vegas,0.775,2071.578,1983.639,65535.0,0.0,-206.3828
9,1.612455,veno,veno,0.789,2100.208,2031.627,65535.0,0.0,-209.23180000000002
10,1.840659,bbr,bbr,0.789,2299.682,2144.636,65535.0,0.0,-229.1792
11,2.483078,westwood,westwood,0.753,2909.545,2356.823,65535.0,0.0,-290.2015
12,2.853505,cubic,cubic,0.611,3270.351,2536.961,65535.0,0.0,-326.42410000000007
13,2.97732,hybla,hybla,0.597,3335.481,3188.862,127.0,0.0,-332.95110000000005
14,3.047249,vegas,vegas,0.586,3405.562,3234.533,65535.0,0.0,-339.9702
15,3.456905,veno,veno,0.574,3811.693,3330.372,65535.0,0.0,-380.5953
16,3.645614,bbr,bbr,0.528,3935.025,3562.344,65535.0,0.0,-392.97450000000003
17,5.418024,cubic,cubic,0.444,5702.507,3939.313,65535.0,0.0,-569.8067
18,5.547194,westwood,westwood,0.351,5788.098,4545.673,65535.0,0.0,-578.4588
19,5.683663,hybla,hybla,0.351,5924.47,4859.39,194.0,0.0,-592.096
20,5.792988,vegas,vegas,0.358,6033.724,5725.625,65535.0,0.0,-603.0144000000001
21,5.868445,veno,veno,0.361,6088.372,5867.496,65535.0,0.0,-608.4762000000001
22,5.959951,bbr,bbr,0.365,6156.759,6006.731,65535.0,0.0,-615.3109000000001
23,6.028714,cubic,cubic,0.368,6217.78,6093.091,65535.0,0.0,-621.41
24,6.113535,hybla,hybla,0.376,6273.245,6202.07,65535.0,0.0,-626.9485000000001
25,6.218312,vegas,vegas,0.381,6348.833,6279.363,65535.0,0.0,-634.5023
26,6.279701,westwood,westwood,0.386,6375.524,6314.387,65535.0,0.0,-637.1664000000001
27,6.359081,veno,veno,0.39,6448.425,6370.535,65535.0,0.0,-644.4525000000001
28,6.411655,bbr,bbr,0.397,6493.828,6442.038,65535.0,0.0,-648.9858
29,6.488416,cubic,cubic,0.403,6488.904,6486.651,65535.0,0.0,-648.4874000000001
30,6.55451,hybla,hybla,0.407,6507.027,6493.68,65535.0,0.0,-650.2957
31,6.634039,vegas,vegas,0.413,6586.589,6535.965,65535.0,0.0,-658.2459
32,6.709903,veno,veno,0.419,6662.093,6577.152,65535.0,0.0,-665.7903
33,6.820166,westwood,westwood,0.424,6721.571,6665.549,65535.0,0.0,-671.7331
34,6.915992,bbr,bbr,0.429,6812.316,6718.78,65535.0,0.0,-680.8026000000001
35,6.971219,cubic,cubic,0.439,6816.48,6797.683,65535.0,0.0,-681.2090000000001
36,7.142949,hybla,hybla,0.446,6965.154,6915.369,65535.0,0.0,-696.0694000000001
37,7.207613,vegas,vegas,0.455,6969.128,6945.047,65535.0,0.0,-696.4578
38,7.274105,veno,veno,0.461,7000.976,6972.271,65535.0,0.0,-699.6366
39,7.343414,bbr,bbr,0.461,7062.377,6990.922,65535.0,0.0,-705.7767000000001
40,7.463674,westwood,westwood,0.467,7119.742,7059.871,65535.0,0.0,-711.5072000000001
41,7.522266,cubic,cubic,0.467,7158.702,7111.931,65535.0,0.0,-715.4032000000001
42,7.603626,vegas,vegas,0.472,7239.97,7154.126,65535.0,0.0,-723.5250000000001
43,7.680689,hybla,hybla,0.479,7302.304,7227.693,289.0,0.0,-729.7514
44,7.859514,veno,veno,0.483,7439.161,7334.28,65535.0,0.0,-743.4331000000001
45,7.935844,bbr,bbr,0.494,7423.062,7374.476,65535.0,0.0,-741.8122
46,8.031472,cubic,cubic,0.5,7440.365,7412.092,65535.0,0.0,-743.5365
47,8.092735,westwood,westwood,0.544,6973.857,7328.027,65535.0,0.0,-696.8417000000001
48,8.183741,hybla,hybla,0.545,7064.557,7155.684,65535.0,0.0,-705.9107
