step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.177023,cubic,cubic,1.117,2242.193,2152.202,65535.0,0.0,-223.10230000000004
1,0.247472,hybla,hybla,1.101,2298.822,2203.754,65535.0,0.0,-228.7812
2,0.368904,bbr,bbr,1.107,2396.775,2287.675,65535.0,0.0,-238.5705
3,0.485355,westwood,westwood,1.096,2432.476,2382.408,65535.0,0.0,-242.15160000000003
4,0.566224,veno,veno,1.118,2493.72,2409.415,65535.0,0.0,-248.254
5,0.674847,vegas,vegas,1.107,2584.25,2474.312,65535.0,0.0,-257.318
6,0.775778,cubic,cubic,1.096,2623.021,2536.972,65535.0,0.0,-261.20610000000005
7,0.859994,hybla,hybla,1.118,2685.076,2594.909,65535.0,0.0,-267.38960000000003
8,0.923318,bbr,bbr,1.137,2690.266,2657.602,65535.0,0.0,-267.88960000000003
9,0.998127,westwood,westwood,1.117,2765.032,2681.715,65535.0,0.0,-275.38620000000003
10,1.065094,veno,veno,1.121,2821.591,2774.536,65535.0,0.0,-281.03810000000004
11,1.162488,hybla,hybla,1.142,2857.71,2812.688,65535.0,0.0,-284.629
12,1.26707,cubic,cubic,1.123,2958.723,2867.686,65535.0,0.0,-294.7493
13,1.356108,vegas,vegas,1.118,2973.508,2916.386,65535.0,0.0,-296.2328
14,1.42343,bbr,bbr,1.121,3036.811,2994.238,65535.0,0.0,-302.56010000000003
15,1.525792,westwood,westwood,1.098,3138.927,3061.491,65535.0,0.0,-312.79470000000003
16,1.635355,hybla,hybla,1.091,3230.493,3162.875,65535.0,0.0,-321.9583
17,1.699635,veno,veno,1.087,3274.862,3186.376,65535.0,0.0,-326.39920000000006
18,1.772069,cubic,cubic,1.105,3282.08,3273.882,65535.0,0.0,-327.103
19,1.883444,bbr,bbr,1.096,3370.612,3309.654,65535.0,0.0,-335.96520000000004
20,1.966772,vegas,vegas,1.101,3432.847,3377.476,65535.0,0.0,-342.18370000000004
21,2.063037,westwood,westwood,1.089,3509.192,3435.062,65535.0,0.0,-349.83020000000005
22,2.122056,hybla,hybla,1.091,3487.652,3465.332,65535.0,0.0,-347.67420000000004
23,2.245088,cubic,cubic,1.087,3559.971,3500.049,65535.0,0.0,-354.91010000000006
24,2.351864,veno,veno,1.09,3534.738,3500.095,65535.0,0.0,-352.3838
25,2.445315,bbr,bbr,1.088,3492.509,3511.331,65535.0,0.0,-348.1629
26,2.524933,hybla,hybla,1.095,3519.951,3501.829,140.0,0.0,-350.9001
27,2.661486,westwood,westwood,1.088,3552.352,3492.76,65535.0,0.0,-354.1472
28,2.734804,vegas,vegas,1.1,3475.504,3471.224,65535.0,0.0,-346.4504
29,2.82292,cubic,cubic,1.094,3517.506,3482.748,65535.0,0.0,-350.6566
30,2.911776,bbr,bbr,1.095,3507.829,3489.32,65535.0,0.0,-349.6879
31,2.993882,veno,veno,1.107,3479.817,3489.451,65535.0,0.0,-346.8747
32,3.073139,hybla,hybla,1.151,3347.849,3416.61,136.0,0.0,-333.63390000000004
33,3.13197,hybla,hybla,1.094,3406.522,3388.599,65535.0,0.0,-339.5582
34,3.233493,westwood,westwood,1.098,3459.376,3443.076,65535.0,0.0,-344.8396
35,3.301996,cubic,cubic,1.096,3515.178,3457.984,65535.0,0.0,-350.4218
36,3.3791,bbr,bbr,1.107,3446.235,3463.749,65535.0,0.0,-343.5165
37,3.454948,vegas,vegas,1.099,3499.792,3461.462,65535.0,0.0,-348.8802
