step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.024618,cubic,cubic,0.098,124.866,120.346,10.0,0.0,-12.3886
1,0.065441,cubic,cubic,0.322,166.087,130.427,14.0,0.0,-16.2867
2,0.095235,cubic,cubic,0.581,196.011,154.185,19.0,0.0,-19.020100000000003
3,0.145334,cubic,cubic,0.591,120.747,150.006,20.0,0.0,-11.4837
4,0.183942,cubic,cubic,1.113,149.451,141.493,24.0,0.0,-13.8321
5,0.23022,cubic,cubic,1.127,164.688,145.078,28.0,0.0,-15.341799999999997
6,0.273034,cubic,cubic,1.098,200.864,157.968,34.0,0.0,-18.988400000000002
7,0.321423,cubic,cubic,1.133,226.103,170.453,38.0,0.0,-21.477300000000003
8,0.350279,cubic,cubic,1.282,205.4,188.274,44.0,0.0,-19.258000000000003
9,0.401145,cubic,cubic,1.241,256.141,196.758,45.0,0.0,-24.373100000000004
10,0.437299,cubic,cubic,1.223,253.426,222.977,48.0,0.0,-24.119600000000002
11,0.487222,cubic,cubic,1.143,303.249,236.345,48.0,0.0,-29.181900000000002
12,0.532734,cubic,cubic,1.159,302.492,268.566,48.0,0.0,-29.090200000000003
13,0.580615,cubic,cubic,1.149,350.489,282.519,48.0,0.0,-33.899899999999995
14,0.610985,cubic,cubic,1.008,377.77,315.393,48.0,0.0,-36.769
15,0.647463,cubic,cubic,1.099,374.565,338.067,49.0,0.0,-36.3575
16,0.690342,cubic,cubic,1.082,417.551,348.002,49.0,0.0,-40.6731
17,0.732472,cubic,cubic,1.128,410.942,387.38,49.0,0.0,-39.9662
18,0.780582,cubic,cubic,1.099,448.983,395.08,49.0,0.0,-43.79930000000001
19,0.827764,cubic,cubic,1.077,488.063,411.716,49.0,0.0,-47.7293
20,0.880205,cubic,cubic,1.025,529.782,444.429,50.0,0.0,-51.95320000000001
21,0.905389,cubic,cubic,1.109,504.301,455.836,50.0,0.0,-49.3211
22,0.94484,cubic,cubic,1.105,524.264,469.554,50.0,0.0,-51.321400000000004
23,0.997529,cubic,cubic,1.08,510.159,479.564,50.0,0.0,-49.935900000000004
24,1.032104,cubic,cubic,1.072,499.021,494.639,50.0,0.0,-48.8301
25,1.058277,cubic,cubic,1.114,477.567,492.505,51.0,0.0,-46.642700000000005
26,1.121122,cubic,cubic,1.138,520.198,494.122,51.0,0.0,-50.881800000000005
27,1.157158,cubic,cubic,1.09,525.957,508.846,51.0,0.0,-51.5057
28,1.19174,cubic,cubic,1.187,501.044,504.716,51.0,0.0,-48.9174
29,1.239523,cubic,cubic,1.133,529.839,507.857,51.0,0.0,-51.8509
30,1.293595,cubic,cubic,1.073,561.11,520.919,51.0,0.0,-55.038000000000004
31,1.319974,cubic,cubic,1.106,539.324,521.597,52.0,0.0,-52.8264
32,1.345043,cubic,cubic,1.086,504.023,514.488,52.0,0.0,-49.316300000000005
33,1.410243,cubic,cubic,1.095,569.073,520.94,52.0,0.0,-55.8123
34,1.459361,cubic,cubic,1.073,577.617,530.538,52.0,0.0,-56.6887
35,1.490022,cubic,cubic,1.038,566.657,542.84,52.0,0.0,-55.62770000000001
36,1.525674,cubic,cubic,1.018,573.644,550.111,53.0,0.0,-56.3464
37,1.557134,cubic,cubic,1.054,554.353,548.683,53.0,0.0,-54.381299999999996
38,1.610252,cubic,cubic,1.024,607.41,556.024,53.0,0.0,-59.717
39,1.647561,cubic,cubic,1.014,589.319,574.022,53.0,0.0,-57.917899999999996
40,1.703794,cubic,cubic,1.0,634.385,583.404,53.0,0.0,-62.438500000000005
41,1.728151,cubic,cubic,1.017,588.019,582.984,53.0,0.0,-57.7849
42,1.789005,cubic,cubic,0.984,631.851,591.154,54.0,0.0,-62.201100000000004
43,1.817282,cubic,cubic,1.035,576.207,587.038,54.0,0.0,-56.5857
44,1.861114,cubic,cubic,1.025,620.272,591.192,54.0,0.0,-61.00220000000001
45,1.897619,cubic,cubic,1.061,604.036,586.008,54.0,0.0,-59.3426
46,1.941122,cubic,cubic,1.043,619.813,588.533,54.0,0.0,-60.938300000000005
47,1.981429,cubic,cubic,1.058,571.075,585.027,55.0,0.0,-56.04950000000001
48,2.045624,cubic,cubic,1.043,577.04,570.833,55.0,0.0,-56.661
49,2.089985,cubic,cubic,1.046,585.637,571.857,55.0,0.0,-57.5177
50,2.120005,cubic,cubic,1.05,590.889,579.778,55.0,0.0,-58.038900000000005
51,2.172337,cubic,cubic,1.07,622.951,584.527,55.0,0.0,-61.225100000000005
52,2.202258,cubic,cubic,1.027,553.773,571.864,56.0,0.0,-54.350300000000004
53,2.22508,cubic,cubic,1.042,576.06,571.535,56.0,0.0,-56.56399999999999
54,2.291629,cubic,cubic,1.078,563.438,558.279,56.0,0.0,-55.2658
55,2.349348,cubic,cubic,1.058,603.662,564.563,56.0,0.0,-59.30820000000001
56,2.372736,cubic,cubic,1.114,572.656,563.885,57.0,0.0,-56.1516
57,2.41038,cubic,cubic,1.102,549.167,554.644,57.0,0.0,-53.81470000000001
58,2.490807,cubic,cubic,1.083,550.96,545.245,57.0,0.0,-54.013000000000005
59,2.525358,cubic,cubic,1.057,582.503,554.386,57.0,0.0,-57.19330000000001
60,2.560316,cubic,cubic,1.057,617.419,562.265,57.0,0.0,-60.6849
61,2.64569,cubic,cubic,1.039,663.927,581.273,57.0,0.0,-65.3537
62,2.74661,cubic,cubic,1.071,636.145,598.6,58.0,0.0,-62.5435
63,2.782984,cubic,cubic,1.036,610.803,600.212,58.0,0.0,-60.0443
64,2.815403,cubic,cubic,1.083,613.974,605.186,58.0,0.0,-60.314400000000006
65,2.845785,cubic,cubic,1.057,620.55,608.801,59.0,0.0,-60.998
66,2.868998,cubic,cubic,1.14,577.469,606.939,59.0,0.0,-56.60690000000001
67,2.925735,cubic,cubic,1.123,633.939,610.314,59.0,0.0,-62.270900000000005
68,2.960186,cubic,cubic,1.102,610.615,607.969,59.0,0.0,-59.959500000000006
69,2.988918,cubic,cubic,1.052,615.965,611.381,59.0,0.0,-60.544500000000006
70,3.071424,cubic,cubic,1.072,678.874,619.819,59.0,0.0,-66.8154
71,3.267138,cubic,cubic,1.023,757.505,655.346,60.0,0.0,-74.7275
72,3.303454,cubic,cubic,1.094,556.828,635.483,61.0,0.0,-54.5888
73,3.330106,cubic,cubic,1.056,583.426,628.977,61.0,0.0,-57.28660000000001
74,3.365244,cubic,cubic,1.063,576.148,612.479,61.0,0.0,-56.5518
75,3.410739,cubic,cubic,1.083,621.377,613.591,61.0,0.0,-61.0547
76,3.464572,cubic,cubic,1.093,618.868,618.161,61.0,0.0,-60.793800000000005
77,3.489105,cubic,cubic,1.083,628.469,621.336,62.0,0.0,-61.76390000000001
78,3.521501,cubic,cubic,1.062,652.397,627.677,62.0,0.0,-64.17770000000002
79,3.555454,cubic,cubic,1.115,595.465,625.019,62.0,0.0,-58.43150000000001
80,3.58738,cubic,cubic,1.119,627.244,623.124,62.0,0.0,-61.6054
81,3.621708,cubic,cubic,1.099,550.557,614.822,62.0,0.0,-53.956700000000005
82,3.659652,cubic,cubic,1.052,588.422,606.4,63.0,0.0,-57.790200000000006
83,3.692172,cubic,cubic,0.887,425.563,561.867,63.0,0.0,-41.6693
84,3.755459,cubic,cubic,0.918,488.779,552.732,63.0,0.0,-47.959900000000005
85,3.789376,cubic,cubic,0.969,522.953,542.018,63.0,0.0,-51.326299999999996
86,3.86121,cubic,cubic,1.119,594.403,548.225,63.0,0.0,-58.32130000000001
87,3.925928,cubic,cubic,1.152,646.317,571.156,64.0,0.0,-63.47970000000001
88,3.970721,cubic,cubic,1.117,667.075,591.371,64.0,0.0,-65.5905
89,3.99886,cubic,cubic,1.078,649.096,606.435,64.0,0.0,-63.831599999999995
90,4.033577,cubic,cubic,1.119,622.749,619.428,65.0,0.0,-61.1559
91,4.069763,cubic,cubic,1.14,605.148,617.673,65.0,0.0,-59.37480000000001
92,4.121885,cubic,cubic,1.142,632.7,619.552,65.0,0.0,-62.12800000000001
93,4.169571,cubic,cubic,1.098,647.724,626.622,65.0,0.0,-63.674400000000006
94,4.22029,cubic,cubic,1.139,664.051,631.709,66.0,0.0,-65.26610000000001
95,4.248655,cubic,cubic,1.082,637.946,639.95,66.0,0.0,-62.7126
96,4.281402,cubic,cubic,1.108,670.695,643.793,67.0,0.0,-65.9615
97,4.332164,cubic,cubic,1.071,692.583,655.016,67.0,0.0,-68.18730000000001
98,4.365717,cubic,cubic,1.073,693.211,662.559,68.0,0.0,-68.24810000000001
99,4.416362,cubic,cubic,1.131,660.793,660.653,68.0,0.0,-64.9483
100,4.441264,cubic,cubic,1.152,637.322,654.757,69.0,0.0,-62.580200000000005
101,4.471871,cubic,cubic,1.121,610.986,648.901,69.0,0.0,-59.9776
102,4.540263,cubic,cubic,1.165,669.643,649.052,70.0,0.0,-65.7993
103,4.579982,cubic,cubic,1.145,609.209,653.364,70.0,0.0,-59.77589999999999
104,4.611351,cubic,cubic,1.113,612.443,639.82,71.0,0.0,-60.1313
105,4.649549,cubic,cubic,1.115,628.556,635.793,72.0,0.0,-61.74060000000001
106,4.713003,cubic,cubic,1.191,663.189,640.193,72.0,0.0,-65.1279
107,4.741784,cubic,cubic,1.124,671.828,647.39,73.0,0.0,-66.0588
108,4.775086,cubic,cubic,1.172,651.74,645.879,73.0,0.0,-64.00200000000001
109,4.834506,cubic,cubic,1.138,663.529,653.985,73.0,0.0,-65.2149
110,4.911774,cubic,cubic,1.112,740.707,670.098,74.0,0.0,-72.95870000000001
111,4.957531,cubic,cubic,1.096,708.646,687.02,76.0,0.0,-69.76859999999999
112,5.025454,cubic,cubic,1.129,693.351,687.095,77.0,0.0,-68.20609999999999
113,5.065497,cubic,cubic,1.08,725.406,696.507,77.0,0.0,-71.4606
114,5.13801,cubic,cubic,1.084,768.91,707.676,78.0,0.0,-75.807
115,5.181018,cubic,cubic,1.02,764.8,735.473,79.0,0.0,-75.46000000000001
116,5.211299,cubic,cubic,1.03,788.264,742.072,80.0,0.0,-77.7964
117,5.256087,cubic,cubic,0.999,794.588,753.389,80.0,0.0,-78.4598
