step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.040135,hybla,hybla,0.329,193.248,143.189,45.0,0.0,-18.9958
1,0.078529,hybla,hybla,0.479,231.854,168.749,49.0,0.0,-22.706400000000002
2,0.125454,hybla,hybla,0.949,156.44,166.815,52.0,0.0,-14.695
3,0.167766,hybla,hybla,1.022,179.585,162.801,59.0,0.0,-16.936500000000002
4,0.235537,hybla,hybla,1.071,247.718,176.893,63.0,0.0,-23.700799999999997
5,0.294753,hybla,hybla,1.082,306.875,208.679,69.0,0.0,-29.6055
6,0.33242,hybla,hybla,1.023,344.427,267.512,74.0,0.0,-33.4197
7,0.382719,hybla,hybla,1.042,394.682,291.829,76.0,0.0,-38.4262
8,0.429252,hybla,hybla,1.045,440.556,356.996,82.0,0.0,-43.0106
9,0.47601,hybla,hybla,1.051,487.961,390.525,85.0,0.0,-47.7451
10,0.505831,hybla,hybla,1.003,465.869,430.305,89.0,0.0,-45.58390000000001
11,0.54297,hybla,hybla,1.144,464.246,447.078,94.0,0.0,-45.2806
12,0.585762,hybla,hybla,1.123,506.927,454.559,95.0,0.0,-49.569700000000005
13,0.627589,hybla,hybla,1.061,502.228,473.036,101.0,0.0,-49.16180000000001
14,0.674964,hybla,hybla,1.038,528.468,479.965,102.0,0.0,-51.808800000000005
15,0.722944,hybla,hybla,1.027,540.188,490.516,104.0,0.0,-52.9918
16,0.774856,hybla,hybla,1.018,530.149,502.666,104.0,0.0,-51.996900000000004
17,0.817984,hybla,hybla,1.079,521.986,503.142,104.0,0.0,-51.1196
18,0.845897,hybla,hybla,1.106,529.843,508.738,104.0,0.0,-51.878299999999996
19,0.888667,hybla,hybla,1.115,572.49,516.707,104.0,0.0,-56.134
20,0.916847,hybla,hybla,1.078,584.442,538.191,104.0,0.0,-57.3662
21,0.953171,hybla,hybla,1.111,621.205,554.718,104.0,0.0,-61.00950000000001
22,1.01676,hybla,hybla,1.174,634.367,567.669,104.0,0.0,-62.2627
23,1.051961,hybla,hybla,1.119,666.288,609.799,104.0,0.0,-65.5098
24,1.085518,hybla,hybla,1.111,700.101,634.016,104.0,0.0,-68.8991
25,1.133892,hybla,hybla,1.092,748.239,648.294,104.0,0.0,-73.73190000000001
26,1.189024,hybla,hybla,1.066,791.369,695.41,104.0,0.0,-78.07090000000001
27,1.214022,hybla,hybla,1.066,785.938,723.084,104.0,0.0,-77.5278
28,1.241162,hybla,hybla,1.062,813.001,753.578,104.0,0.0,-80.2381
29,1.304577,hybla,hybla,1.063,876.144,788.612,104.0,0.0,-86.5514
30,1.354274,hybla,hybla,1.073,878.455,813.011,104.0,0.0,-86.77250000000002
31,1.387292,hybla,hybla,1.055,911.6,847.313,104.0,0.0,-90.105
32,1.422164,hybla,hybla,1.07,925.344,872.923,104.0,0.0,-91.46440000000001
33,1.451871,hybla,hybla,1.062,946.008,898.921,104.0,0.0,-93.53880000000001
34,1.503301,hybla,hybla,1.065,987.101,909.943,104.0,0.0,-97.64510000000001
35,1.541738,hybla,hybla,1.044,1025.439,964.896,104.0,0.0,-101.49990000000001
36,1.595665,hybla,hybla,1.045,1071.504,984.234,104.0,0.0,-106.10539999999999
37,1.62419,hybla,hybla,1.025,1037.696,1006.937,104.0,0.0,-102.74459999999999
38,1.684444,hybla,hybla,1.054,1079.835,1026.811,104.0,0.0,-106.9295
39,1.710633,hybla,hybla,1.051,1106.069,1060.592,104.0,0.0,-109.5559
40,1.756271,hybla,hybla,1.047,1150.374,1071.814,104.0,0.0,-113.99040000000001
41,1.792228,hybla,hybla,1.047,1117.306,1095.761,104.0,0.0,-110.68360000000001
42,1.838605,hybla,hybla,1.068,1163.563,1108.661,104.0,0.0,-115.28830000000002
43,1.875794,hybla,hybla,1.055,1139.643,1120.277,104.0,0.0,-112.9093
44,1.94108,hybla,hybla,1.087,1166.091,1124.503,104.0,0.0,-115.5221
45,1.986926,hybla,hybla,1.04,1167.471,1140.504,105.0,0.0,-115.7071
46,2.066513,hybla,hybla,1.062,1169.887,1151.122,105.0,0.0,-115.9267
47,2.094082,hybla,hybla,1.044,1140.592,1149.222,105.0,0.0,-113.01520000000002
48,2.125024,hybla,hybla,1.035,1160.693,1149.834,105.0,0.0,-115.0343
49,2.182786,hybla,hybla,1.083,1147.875,1137.997,105.0,0.0,-113.70450000000001
50,2.244452,hybla,hybla,1.049,1192.608,1147.712,105.0,0.0,-118.2118
51,2.268303,hybla,hybla,1.076,1132.832,1144.27,105.0,0.0,-112.20720000000003
52,2.305484,hybla,hybla,1.087,1116.386,1125.883,105.0,0.0,-110.5516
53,2.386043,hybla,hybla,1.096,1144.7,1117.991,105.0,0.0,-113.37400000000001
54,2.455166,hybla,hybla,1.095,1149.428,1127.026,105.0,0.0,-113.84780000000002
55,2.53999,hybla,hybla,1.092,1174.552,1132.721,105.0,0.0,-116.36319999999999
56,2.564185,hybla,hybla,1.062,1122.714,1138.022,106.0,0.0,-111.2094
57,2.64045,hybla,hybla,1.075,1188.598,1142.436,106.0,0.0,-117.7848
58,2.683853,hybla,hybla,1.081,1142.175,1131.864,106.0,0.0,-113.1365
59,2.71002,hybla,hybla,1.107,1105.09,1124.553,106.0,0.0,-109.402
60,2.740111,hybla,hybla,1.098,1117.013,1112.78,106.0,0.0,-110.6033
61,2.763777,hybla,hybla,1.105,1079.359,1090.581,106.0,0.0,-106.8309
62,2.83323,hybla,hybla,1.104,1122.394,1093.131,106.0,0.0,-111.1354
63,2.873252,hybla,hybla,1.078,1081.098,1088.707,106.0,0.0,-107.0318
64,2.9653,hybla,hybla,1.035,1126.975,1083.869,106.0,0.0,-111.6625
65,3.16293,hybla,hybla,1.076,1286.554,1125.134,107.0,0.0,-127.57940000000002
66,3.197682,hybla,hybla,1.057,1112.521,1134.548,108.0,0.0,-110.1951
67,3.224526,hybla,hybla,1.075,1130.529,1131.633,108.0,0.0,-111.9779
68,3.259111,hybla,hybla,1.086,1122.632,1121.849,108.0,0.0,-111.17720000000001
69,3.303611,hybla,hybla,1.06,1117.691,1116.382,108.0,0.0,-110.7091
70,3.33628,hybla,hybla,1.02,1091.765,1111.309,108.0,0.0,-108.15650000000002
71,3.358927,hybla,hybla,1.02,1114.466,1111.704,108.0,0.0,-110.4266
72,3.383834,hybla,hybla,1.03,1139.23,1115.145,108.0,0.0,-112.893
73,3.415979,hybla,hybla,1.089,1128.798,1124.431,108.0,0.0,-111.7908
74,3.449704,hybla,hybla,1.078,1144.276,1126.963,109.0,0.0,-113.34960000000001
75,3.483179,hybla,hybla,1.063,1077.449,1116.832,109.0,0.0,-106.68190000000001
76,3.516265,hybla,hybla,1.058,1048.331,1095.449,109.0,0.0,-103.7751
77,3.544383,hybla,hybla,1.092,1076.167,1086.037,109.0,0.0,-106.5247
78,3.57508,hybla,hybla,1.056,1035.51,1061.864,109.0,0.0,-102.495
79,3.63388,hybla,hybla,1.066,1094.365,1064.305,110.0,0.0,-108.3705
80,3.668845,hybla,hybla,1.082,1104.57,1074.617,110.0,0.0,-109.375
81,3.6994,hybla,hybla,1.096,1058.803,1077.615,110.0,0.0,-104.78430000000002
82,3.756078,hybla,hybla,1.096,1115.608,1077.994,110.0,0.0,-110.4648
83,3.820951,hybla,hybla,1.128,1110.708,1087.775,111.0,0.0,-109.94280000000002
84,3.865105,hybla,hybla,1.106,1124.489,1098.99,111.0,0.0,-111.34290000000001
85,3.89415,hybla,hybla,1.081,1138.592,1115.328,111.0,0.0,-112.77820000000001
86,3.927239,hybla,hybla,1.094,1093.988,1116.036,112.0,0.0,-108.30480000000001
87,3.953768,hybla,hybla,1.107,1098.995,1107.577,112.0,0.0,-108.79249999999999
88,4.016816,hybla,hybla,1.107,1143.482,1112.229,112.0,0.0,-113.2412
89,4.066239,hybla,hybla,1.1,1100.253,1102.079,112.0,0.0,-108.92530000000001
90,4.125964,hybla,hybla,0.963,963.248,1063.322,113.0,0.0,-95.36180000000002
91,4.175927,hybla,hybla,1.005,1013.264,1025.773,113.0,0.0,-100.32140000000001
92,4.22628,hybla,hybla,1.035,1063.714,1027.956,114.0,0.0,-105.3364
93,4.260124,hybla,hybla,1.088,1097.525,1057.702,114.0,0.0,-108.66450000000002
94,4.299113,hybla,hybla,1.128,1122.94,1080.984,115.0,0.0,-111.16600000000001
95,4.337058,hybla,hybla,1.119,1112.361,1094.248,115.0,0.0,-110.11710000000002
96,4.365937,hybla,hybla,1.118,1106.666,1099.748,115.0,0.0,-109.54860000000001
97,4.401367,hybla,hybla,1.118,1078.206,1092.963,116.0,0.0,-106.7026
98,4.448731,hybla,hybla,1.1,1125.461,1097.025,116.0,0.0,-111.44610000000002
99,4.492645,hybla,hybla,1.083,1092.543,1091.342,117.0,0.0,-108.1713
100,4.524722,hybla,hybla,1.119,1091.108,1091.734,117.0,0.0,-107.9918
101,4.561368,hybla,hybla,1.117,1094.803,1092.984,117.0,0.0,-108.36330000000001
102,4.608121,hybla,hybla,1.153,1126.026,1097.114,118.0,0.0,-111.4496
103,4.643615,hybla,hybla,1.13,1137.786,1106.793,118.0,0.0,-112.64860000000002
104,4.708627,hybla,hybla,1.104,1174.343,1120.169,119.0,0.0,-116.33030000000001
105,4.736761,hybla,hybla,1.076,1168.749,1133.111,119.0,0.0,-115.79890000000002
106,4.806006,hybla,hybla,1.079,1219.209,1149.164,119.0,0.0,-120.84190000000002
107,4.841298,hybla,hybla,1.08,1156.877,1159.917,120.0,0.0,-114.60770000000001
108,4.922145,hybla,hybla,1.098,1165.964,1160.373,121.0,0.0,-115.4984
109,4.960435,hybla,hybla,1.082,1195.114,1167.46,121.0,0.0,-118.42940000000002
110,5.02848,hybla,hybla,1.113,1207.541,1179.843,122.0,0.0,-119.6411
111,5.054008,hybla,hybla,1.059,1189.314,1190.305,122.0,0.0,-117.87240000000001
112,5.106465,hybla,hybla,1.077,1197.164,1192.995,123.0,0.0,-118.63940000000001
113,5.150398,hybla,hybla,1.064,1233.573,1198.959,124.0,0.0,-122.29330000000002
114,5.177114,hybla,hybla,1.06,1212.81,1208.909,125.0,0.0,-120.221
115,5.209407,hybla,hybla,1.089,1192.308,1203.798,125.0,0.0,-118.1418
116,5.240511,hybla,hybla,1.088,1223.754,1206.293,126.0,0.0,-121.2874
117,5.273419,hybla,hybla,1.06,1207.568,1206.452,126.0,0.0,-119.6968
