step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.078173,bbr,bbr,0.097,122.744,119.955,10.0,0.0,-12.1774
1,0.118888,bbr,bbr,0.326,163.674,129.241,14.0,0.0,-16.0414
2,0.142372,bbr,bbr,0.585,187.349,151.747,19.0,0.0,-18.1499
3,0.197987,bbr,bbr,0.618,119.975,147.776,20.0,0.0,-11.3795
4,0.237351,bbr,bbr,1.132,149.511,139.969,24.0,0.0,-13.8191
5,0.283545,bbr,bbr,1.142,164.137,143.876,28.0,0.0,-15.271700000000003
6,0.326164,bbr,bbr,1.099,200.442,156.862,34.0,0.0,-18.945200000000003
7,0.376955,bbr,bbr,1.143,234.067,170.414,38.0,0.0,-22.2637
8,0.404338,bbr,bbr,1.3,206.126,188.766,44.0,0.0,-19.3126
9,0.454997,bbr,bbr,1.236,256.835,197.275,45.0,0.0,-24.447499999999998
10,0.489998,bbr,bbr,1.222,252.788,223.32,48.0,0.0,-24.056800000000003
11,0.541706,bbr,bbr,1.145,304.513,236.696,48.0,0.0,-29.3063
12,0.586524,bbr,bbr,1.155,302.897,268.893,48.0,0.0,-29.1347
13,0.634495,bbr,bbr,1.147,351.188,282.902,48.0,0.0,-33.9718
14,0.667968,bbr,bbr,1.0,383.248,317.085,48.0,0.0,-37.3248
15,0.70158,bbr,bbr,1.104,375.069,340.225,49.0,0.0,-36.4029
16,0.743981,bbr,bbr,1.081,417.666,349.913,49.0,0.0,-40.6856
17,0.786363,bbr,bbr,1.002,409.518,367.125,49.0,0.0,-39.949799999999996
18,0.833942,bbr,bbr,1.103,448.924,377.35,49.0,0.0,-43.7894
19,0.877702,bbr,bbr,1.08,483.22,397.415,49.0,0.0,-47.242000000000004
20,0.934664,bbr,bbr,1.018,530.032,435.209,50.0,0.0,-51.985200000000006
21,0.999877,bbr,bbr,1.137,525.023,462.594,50.0,0.0,-51.365300000000005
22,1.050915,bbr,bbr,1.079,509.156,474.163,50.0,0.0,-49.836600000000004
23,1.085447,bbr,bbr,1.077,499.19,489.796,50.0,0.0,-48.842000000000006
24,1.111925,bbr,bbr,1.114,477.429,488.25,51.0,0.0,-46.6289
25,1.175087,bbr,bbr,1.138,519.899,491.209,51.0,0.0,-50.85190000000001
26,1.210947,bbr,bbr,1.097,527.866,505.609,51.0,0.0,-51.6896
27,1.249026,bbr,bbr,1.152,504.92,503.509,51.0,0.0,-49.34
28,1.292615,bbr,bbr,1.124,527.3,506.483,51.0,0.0,-51.605999999999995
29,1.351735,bbr,bbr,1.061,517.655,513.274,51.0,0.0,-50.7045
30,1.39869,bbr,bbr,1.145,503.5,511.214,52.0,0.0,-49.205
31,1.465364,bbr,bbr,1.092,569.89,518.819,52.0,0.0,-55.897000000000006
32,1.513747,bbr,bbr,1.07,579.501,529.834,52.0,0.0,-56.8801
33,1.546771,bbr,bbr,1.012,583.353,546.129,52.0,0.0,-57.323299999999996
34,1.579452,bbr,bbr,1.017,574.2,552.23,53.0,0.0,-56.403000000000006
35,1.611628,bbr,bbr,1.036,537.129,548.977,53.0,0.0,-52.6769
36,1.662476,bbr,bbr,1.035,587.782,553.828,53.0,0.0,-57.74320000000001
37,1.70104,bbr,bbr,1.015,588.86,572.707,53.0,0.0,-57.871
38,1.75439,bbr,bbr,1.0,631.298,582.027,53.0,0.0,-62.1298
39,1.780647,bbr,bbr,1.016,587.266,581.992,53.0,0.0,-57.7106
40,1.842716,bbr,bbr,0.981,632.031,591.603,54.0,0.0,-62.2221
41,1.869481,bbr,bbr,1.053,559.057,584.772,54.0,0.0,-54.852700000000006
42,1.914686,bbr,bbr,1.057,604.117,587.19,54.0,0.0,-59.354699999999994
43,1.950504,bbr,bbr,1.069,577.529,579.062,54.0,0.0,-56.6839
44,1.997387,bbr,bbr,1.043,624.061,584.375,54.0,0.0,-61.36310000000001
45,2.034832,bbr,bbr,1.057,570.019,581.552,55.0,0.0,-55.944900000000004
46,2.098666,bbr,bbr,1.039,576.796,569.042,55.0,0.0,-56.640600000000006
47,2.123006,bbr,bbr,1.013,576.789,568.71,55.0,0.0,-56.6659
48,2.157792,bbr,bbr,1.026,594.944,573.693,55.0,0.0,-58.468399999999995
49,2.224729,bbr,bbr,1.071,622.102,582.12,55.0,0.0,-61.1392
50,2.252852,bbr,bbr,1.028,552.209,570.686,56.0,0.0,-54.1929
51,2.278202,bbr,bbr,1.043,575.526,570.6,56.0,0.0,-56.5096
52,2.345733,bbr,bbr,1.077,564.317,558.311,56.0,0.0,-55.35470000000001
53,2.403289,bbr,bbr,1.063,604.394,565.495,56.0,0.0,-59.376400000000004
54,2.427298,bbr,bbr,1.053,584.456,565.952,56.0,0.0,-57.39260000000001
55,2.464783,bbr,bbr,1.035,549.606,561.805,57.0,0.0,-53.9256
56,2.54411,bbr,bbr,1.083,593.342,557.169,57.0,0.0,-58.251200000000004
57,2.57842,bbr,bbr,1.045,581.464,561.024,57.0,0.0,-57.101400000000005
58,2.613912,bbr,bbr,1.057,616.965,568.017,57.0,0.0,-60.639500000000005
59,2.69771,bbr,bbr,1.076,662.769,594.702,57.0,0.0,-65.2009
