step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.059323,westwood,westwood,0.332,193.463,142.879,14.0,0.0,-19.0143
1,0.09861,westwood,westwood,0.479,232.458,168.703,18.0,0.0,-22.766800000000003
2,0.145308,westwood,westwood,0.967,159.1,167.481,21.0,0.0,-14.943
3,0.172976,westwood,westwood,1.002,167.648,162.671,26.0,0.0,-15.7628
4,0.254045,westwood,westwood,0.958,194.399,158.82,31.0,0.0,-18.481900000000003
5,0.313465,westwood,westwood,0.947,215.1,170.006,34.0,0.0,-20.563000000000002
6,0.350813,westwood,westwood,1.273,206.063,188.709,36.0,0.0,-19.3333
7,0.401536,westwood,westwood,1.237,256.764,199.115,37.0,0.0,-24.4394
8,0.447046,westwood,westwood,1.089,274.074,240.07,41.0,0.0,-26.318400000000004
9,0.49402,westwood,westwood,1.099,320.955,253.903,42.0,0.0,-30.9965
10,0.525531,westwood,westwood,0.954,352.584,287.692,44.0,0.0,-34.3044
11,0.561652,westwood,westwood,1.02,307.861,311.76,46.0,0.0,-29.7661
12,0.604682,westwood,westwood,1.129,350.9,316.652,47.0,0.0,-33.961
13,0.646759,westwood,westwood,1.024,382.709,346.088,50.0,0.0,-37.246900000000004
14,0.685603,westwood,westwood,0.999,372.259,349.36,50.0,0.0,-36.2269
15,0.755864,westwood,westwood,1.128,421.18,367.351,53.0,0.0,-40.99
16,0.794292,westwood,westwood,1.058,443.388,390.534,55.0,0.0,-43.2808
17,0.819222,westwood,westwood,1.123,416.03,394.076,57.0,0.0,-40.480000000000004
18,0.859568,westwood,westwood,1.043,441.371,404.255,59.0,0.0,-43.094100000000005
19,0.911351,westwood,westwood,1.075,464.158,415.838,61.0,0.0,-45.3408
20,0.935256,westwood,westwood,1.155,441.404,424.538,64.0,0.0,-42.9854
21,0.97288,westwood,westwood,1.166,447.138,428.272,66.0,0.0,-43.5478
22,1.035841,westwood,westwood,1.137,500.589,441.286,67.0,0.0,-48.9219
23,1.071479,westwood,westwood,1.097,466.832,470.685,70.0,0.0,-45.5862
24,1.105815,westwood,westwood,1.159,479.964,472.668,72.0,0.0,-46.8374
25,1.153543,westwood,westwood,1.158,527.577,479.531,72.0,0.0,-51.5997
26,1.207871,westwood,westwood,1.076,561.208,503.627,74.0,0.0,-55.0448
27,1.233069,westwood,westwood,1.109,547.623,516.67,76.0,0.0,-53.65330000000001
28,1.259642,westwood,westwood,1.097,565.446,530.395,78.0,0.0,-55.4476
29,1.324781,westwood,westwood,1.186,568.795,535.296,80.0,0.0,-55.6935
30,1.37809,westwood,westwood,1.079,622.01,555.82,82.0,0.0,-61.122
31,1.403763,westwood,westwood,1.097,608.725,575.825,84.0,0.0,-59.7755
32,1.439151,westwood,westwood,1.04,643.81,592.705,85.0,0.0,-63.341
33,1.463559,westwood,westwood,1.041,626.106,605.332,87.0,0.0,-61.56960000000001
34,1.524347,westwood,westwood,1.058,686.78,618.771,88.0,0.0,-67.61999999999999
35,1.561683,westwood,westwood,1.025,696.323,653.511,91.0,0.0,-68.6073
36,1.618417,westwood,westwood,1.083,706.992,660.079,92.0,0.0,-69.6162
37,1.642512,westwood,westwood,1.014,727.271,678.328,94.0,0.0,-71.7131
38,1.705663,westwood,westwood,1.008,770.051,703.558,96.0,0.0,-75.99710000000002
39,1.730393,westwood,westwood,1.001,757.553,735.435,99.0,0.0,-74.7543
40,1.775556,westwood,westwood,1.009,792.358,743.873,99.0,0.0,-78.2268
41,1.810912,westwood,westwood,1.049,756.393,753.085,101.0,0.0,-74.5903
42,1.858454,westwood,westwood,1.041,800.129,759.38,103.0,0.0,-78.9719
43,1.895468,westwood,westwood,1.024,811.261,771.999,106.0,0.0,-80.10210000000001
44,1.9608,westwood,westwood,1.028,854.827,786.65,108.0,0.0,-84.4547
45,2.003948,westwood,westwood,1.018,850.428,801.39,110.0,0.0,-84.0248
46,2.032966,westwood,westwood,1.072,825.142,805.328,112.0,0.0,-81.44220000000001
47,2.07462,westwood,westwood,1.053,841.439,809.842,113.0,0.0,-83.0909
48,2.103954,westwood,westwood,1.046,844.473,822.978,116.0,0.0,-83.40129999999999
49,2.143974,westwood,westwood,1.064,870.323,833.974,118.0,0.0,-85.9683
50,2.202583,westwood,westwood,1.116,877.962,844.658,120.0,0.0,-86.6802
51,2.263414,westwood,westwood,1.066,878.19,853.706,122.0,0.0,-86.75300000000001
52,2.287412,westwood,westwood,1.093,883.57,862.582,125.0,0.0,-87.26400000000001
53,2.324055,westwood,westwood,1.091,905.234,876.098,127.0,0.0,-89.43240000000002
54,2.403884,westwood,westwood,1.105,943.532,890.701,130.0,0.0,-93.24820000000001
55,2.488024,westwood,westwood,1.072,963.659,922.792,132.0,0.0,-95.29390000000001
56,2.558809,westwood,westwood,1.098,1014.863,944.983,135.0,0.0,-100.38830000000002
57,2.659273,westwood,westwood,1.123,1035.686,982.11,140.0,0.0,-102.4456
58,2.729546,westwood,westwood,1.101,1023.999,1001.609,143.0,0.0,-101.2989
59,2.759383,westwood,westwood,1.097,1053.887,1018.954,147.0,0.0,-104.2917
60,2.792921,westwood,westwood,1.127,1017.14,1017.87,150.0,0.0,-100.587
61,2.854865,westwood,westwood,1.127,1078.881,1025.496,151.0,0.0,-106.76110000000001
62,2.892598,westwood,westwood,1.111,1034.396,1041.954,154.0,0.0,-102.3286
63,2.985321,westwood,westwood,1.108,1126.978,1052.463,155.0,0.0,-111.58980000000001
64,3.1816,westwood,westwood,1.079,1305.642,1111.108,158.0,0.0,-129.4852
65,3.217132,westwood,westwood,1.096,1184.189,1187.643,168.0,0.0,-117.3229
66,3.244529,westwood,westwood,1.096,1169.053,1190.537,169.0,0.0,-115.80930000000001
67,3.279026,westwood,westwood,1.118,1192.81,1188.7,172.0,0.0,-118.16300000000001
68,3.324479,westwood,westwood,1.117,1228.47,1193.671,173.0,0.0,-121.73
69,3.3787,westwood,westwood,1.076,1274.291,1208.662,175.0,0.0,-126.35310000000001
70,3.403079,westwood,westwood,1.064,1277.244,1217.235,176.0,0.0,-126.66040000000001
71,3.44603,westwood,westwood,1.076,1290.924,1237.432,179.0,0.0,-128.0164
72,3.469381,westwood,westwood,1.068,1266.811,1247.061,180.0,0.0,-125.6131
