step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.029846,veno,veno,0.083,122.388,134.539,10.0,0.0,-12.155800000000001
1,0.059201,veno,veno,0.095,151.786,136.695,11.0,0.0,-15.0836
2,0.103005,veno,veno,0.342,195.436,153.415,15.0,0.0,-19.201600000000003
3,0.143167,veno,veno,0.55,113.228,166.214,20.0,0.0,-10.7728
4,0.223636,veno,veno,0.839,164.24,155.164,23.0,0.0,-15.585000000000003
5,0.261901,veno,veno,0.89,185.264,157.233,27.0,0.0,-17.636400000000002
6,0.304421,veno,veno,0.938,201.186,162.727,30.0,0.0,-19.180600000000002
7,0.329735,veno,veno,1.019,216.967,174.1,36.0,0.0,-20.677700000000005
8,0.365257,veno,veno,1.056,221.998,185.036,40.0,0.0,-21.1438
9,0.417646,veno,veno,1.096,267.799,195.381,42.0,0.0,-25.683899999999998
10,0.477893,veno,veno,1.363,254.182,208.9,48.0,0.0,-24.0552
11,0.514273,veno,veno,1.123,252.285,233.884,54.0,0.0,-24.1055
12,0.565837,veno,veno,1.148,303.813,242.625,54.0,0.0,-29.2333
13,0.610271,veno,veno,1.269,302.615,275.281,58.0,0.0,-28.992500000000003
14,0.658398,veno,veno,1.072,350.824,287.716,59.0,0.0,-34.0104
15,0.686536,veno,veno,1.003,378.821,319.405,61.0,0.0,-36.8791
16,0.725329,veno,veno,1.073,395.572,352.351,63.0,0.0,-38.4842
17,0.768735,veno,veno,1.054,438.789,363.156,64.0,0.0,-42.8249
18,0.810685,veno,veno,1.029,445.475,409.771,67.0,0.0,-43.5185
19,0.849976,veno,veno,1.014,484.88,419.16,67.0,0.0,-47.474
20,0.92021,veno,veno,1.103,502.481,445.764,70.0,0.0,-49.1451
21,0.958174,veno,veno,1.037,540.778,478.185,72.0,0.0,-53.040800000000004
22,0.987238,veno,veno,1.098,488.081,488.442,76.0,0.0,-47.710100000000004
23,1.023236,veno,veno,1.092,524.2,492.912,76.0,0.0,-51.32800000000001
24,1.077056,veno,veno,1.101,562.641,505.42,79.0,0.0,-55.1631
25,1.109578,veno,veno,1.18,542.708,517.303,81.0,0.0,-53.0908
26,1.137181,veno,veno,1.153,570.298,523.928,82.0,0.0,-55.8768
27,1.196873,veno,veno,1.116,628.948,543.331,84.0,0.0,-61.778800000000004
28,1.237414,veno,veno,1.106,627.044,563.889,87.0,0.0,-61.5984
29,1.266363,veno,veno,1.09,607.936,569.396,88.0,0.0,-59.7036
30,1.317278,veno,veno,1.124,630.696,580.557,89.0,0.0,-61.945600000000006
31,1.37252,veno,veno,1.102,685.745,593.707,91.0,0.0,-67.4725
32,1.397736,veno,veno,1.047,700.136,607.011,93.0,0.0,-68.9666
33,1.424647,veno,veno,1.042,698.994,645.442,95.0,0.0,-68.8574
34,1.487272,veno,veno,1.107,718.467,663.691,97.0,0.0,-70.7397
35,1.537666,veno,veno,1.073,750.118,685.123,99.0,0.0,-73.93880000000001
36,1.57064,veno,veno,1.055,719.52,708.235,101.0,0.0,-70.89699999999999
37,1.603954,veno,veno,1.08,745.281,717.663,103.0,0.0,-73.4481
38,1.635516,veno,veno,1.134,715.528,723.172,105.0,0.0,-70.4188
39,1.685501,veno,veno,1.133,765.427,728.454,105.0,0.0,-75.40970000000002
40,1.725794,veno,veno,1.059,767.559,756.562,108.0,0.0,-75.6969
41,1.778219,veno,veno,1.099,819.912,765.914,109.0,0.0,-80.8922
42,1.805606,veno,veno,1.033,847.499,789.197,111.0,0.0,-83.71690000000001
43,1.868865,veno,veno,1.035,884.324,815.79,113.0,0.0,-87.3974
44,1.894853,veno,veno,1.01,865.0,840.045,116.0,0.0,-85.49
45,1.939862,veno,veno,1.004,910.165,848.81,116.0,0.0,-90.0125
46,1.975226,veno,veno,1.005,898.39,872.74,118.0,0.0,-88.834
47,2.017857,veno,veno,1.02,939.649,886.241,120.0,0.0,-92.9449
48,2.060908,veno,veno,1.022,923.115,907.58,123.0,0.0,-91.2895
49,2.123696,veno,veno,1.035,975.375,918.949,125.0,0.0,-96.50250000000001
50,2.169291,veno,veno,1.009,951.39,932.006,128.0,0.0,-94.13000000000001
51,2.197437,veno,veno,1.015,979.866,948.184,130.0,0.0,-96.97160000000001
52,2.246063,veno,veno,1.025,1008.562,957.042,131.0,0.0,-99.8312
53,2.27731,veno,veno,1.048,960.117,967.637,134.0,0.0,-94.9637
54,2.30914,veno,veno,1.051,992.069,972.536,136.0,0.0,-98.1559
55,2.366575,veno,veno,1.091,994.062,969.644,137.0,0.0,-98.31520000000002
56,2.428196,veno,veno,1.084,1030.229,984.281,139.0,0.0,-101.9389
57,2.470839,veno,veno,1.077,1040.677,1012.216,143.0,0.0,-102.9907
58,2.503741,veno,veno,1.122,1016.473,1015.264,146.0,0.0,-100.5253
59,2.569453,veno,veno,1.113,1080.142,1023.91,147.0,0.0,-106.90120000000002
60,2.638778,veno,veno,1.101,1092.208,1043.237,149.0,0.0,-108.11980000000001
61,2.723423,veno,veno,1.081,1153.646,1076.027,152.0,0.0,-114.28359999999999
62,2.825102,veno,veno,1.076,1200.276,1125.411,157.0,0.0,-118.95160000000001
63,2.867626,veno,veno,1.1,1158.943,1135.528,160.0,0.0,-114.7943
64,2.893116,veno,veno,1.079,1167.503,1146.293,162.0,0.0,-115.6713
65,2.923723,veno,veno,1.128,1145.542,1146.865,164.0,0.0,-113.4262
66,2.957575,veno,veno,1.132,1147.865,1142.925,167.0,0.0,-113.6545
67,3.016577,veno,veno,1.13,1192.949,1149.178,168.0,0.0,-118.16490000000002
68,3.057022,veno,veno,1.129,1187.897,1162.467,171.0,0.0,-117.66069999999999
69,3.149132,veno,veno,1.111,1270.292,1180.113,172.0,0.0,-125.9182
70,3.346376,veno,veno,1.121,1406.122,1231.13,175.0,0.0,-139.4912
71,3.38243,veno,veno,1.107,1321.399,1306.635,186.0,0.0,-131.03289999999998
72,3.42222,veno,veno,1.127,1298.397,1309.428,188.0,0.0,-128.71269999999998
73,3.484818,veno,veno,1.119,1336.133,1312.237,190.0,0.0,-132.4943
74,3.54296,veno,veno,1.11,1359.36,1323.308,192.0,0.0,-134.826
75,3.588902,veno,veno,1.099,1390.407,1337.896,195.0,0.0,-137.9417
76,3.618063,veno,veno,1.12,1367.927,1345.016,197.0,0.0,-135.6727
77,3.643881,veno,veno,1.106,1383.155,1357.587,199.0,0.0,-137.20950000000002
78,3.689407,veno,veno,1.108,1421.006,1376.636,201.0,0.0,-140.9926
79,3.717845,veno,veno,1.11,1420.279,1394.45,203.0,0.0,-140.9179
80,3.750138,veno,veno,1.117,1432.509,1406.629,205.0,0.0,-142.1339
81,3.818908,veno,veno,1.142,1452.285,1410.095,207.0,0.0,-144.08650000000003
82,3.867737,veno,veno,1.109,1439.609,1422.443,209.0,0.0,-142.8519
83,3.940838,veno,veno,1.111,1489.073,1440.799,212.0,0.0,-147.79630000000003
84,4.004947,veno,veno,1.114,1533.612,1458.375,215.0,0.0,-152.24720000000002
85,4.051068,veno,veno,1.1,1559.933,1479.306,217.0,0.0,-154.8933
86,4.093142,veno,veno,1.077,1585.691,1512.126,220.0,0.0,-157.49210000000002
87,4.128806,veno,veno,1.113,1540.708,1520.306,222.0,0.0,-152.95780000000002
88,4.193882,veno,veno,1.114,1555.178,1527.895,223.0,0.0,-154.40380000000002
89,4.246994,veno,veno,1.129,1523.691,1541.588,226.0,0.0,-151.2401
90,4.307136,veno,veno,1.155,1583.692,1544.412,229.0,0.0,-157.2142
91,4.359429,veno,veno,1.126,1617.276,1559.867,232.0,0.0,-160.60160000000002
92,4.409831,veno,veno,1.11,1665.887,1579.655,233.0,0.0,-165.4787
93,4.434921,veno,veno,1.148,1609.969,1584.006,236.0,0.0,-159.84890000000001
94,4.478701,veno,veno,1.129,1653.46,1601.191,239.0,0.0,-164.217
95,4.517454,veno,veno,1.144,1650.891,1617.225,241.0,0.0,-163.94510000000002
96,4.546993,veno,veno,1.123,1653.646,1627.667,243.0,0.0,-164.2416
