step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.034794,vegas,vegas,0.338,192.193,141.444,14.0,0.0,-18.881300000000003
1,0.076051,vegas,vegas,0.482,233.496,167.621,18.0,0.0,-22.867600000000003
2,0.126949,vegas,vegas,0.955,163.883,167.409,21.0,0.0,-15.433300000000001
3,0.162084,vegas,vegas,0.995,128.038,159.71,28.0,0.0,-11.808800000000003
4,0.230214,vegas,vegas,0.964,196.207,162.521,32.0,0.0,-18.6567
5,0.291136,vegas,vegas,0.943,215.697,174.239,38.0,0.0,-20.6267
6,0.326132,vegas,vegas,1.036,199.406,193.288,42.0,0.0,-18.904600000000002
7,0.362236,vegas,vegas,1.278,235.572,198.573,44.0,0.0,-22.279200000000003
8,0.422103,vegas,vegas,1.143,295.241,221.54,50.0,0.0,-28.3811
9,0.469663,vegas,vegas,1.074,307.801,241.293,54.0,0.0,-29.7061
10,0.500677,vegas,vegas,0.993,338.795,262.83,54.0,0.0,-32.8865
11,0.536821,vegas,vegas,1.043,359.338,282.597,54.0,0.0,-34.890800000000006
12,0.579578,vegas,vegas,1.032,349.561,290.967,54.0,0.0,-33.924099999999996
13,0.622718,vegas,vegas,1.093,392.52,320.036,54.0,0.0,-38.159000000000006
14,0.660945,vegas,vegas,1.033,430.838,333.886,54.0,0.0,-42.0508
15,0.73152,vegas,vegas,1.022,440.656,383.341,55.0,0.0,-43.043600000000005
16,0.769473,vegas,vegas,1.099,459.531,411.537,55.0,0.0,-44.85410000000001
17,0.794448,vegas,vegas,1.069,468.438,434.174,55.0,0.0,-45.7748
18,0.835,vegas,vegas,1.157,458.682,443.451,55.0,0.0,-44.711200000000005
19,0.888569,vegas,vegas,1.107,508.442,456.339,56.0,0.0,-49.7372
20,0.921554,vegas,vegas,1.092,499.44,488.811,56.0,0.0,-48.852000000000004
21,0.947971,vegas,vegas,1.137,526.028,495.703,56.0,0.0,-51.4658
22,1.010728,vegas,vegas,1.101,588.686,514.683,56.0,0.0,-57.76760000000001
23,1.047298,vegas,vegas,1.135,558.692,540.557,56.0,0.0,-54.73420000000001
24,1.080947,vegas,vegas,1.119,570.312,546.972,57.0,0.0,-55.912200000000006
25,1.129585,vegas,vegas,1.077,618.471,555.909,57.0,0.0,-60.770100000000006
26,1.182986,vegas,vegas,1.115,603.421,567.939,57.0,0.0,-59.22710000000001
27,1.208696,vegas,vegas,1.054,607.735,575.841,57.0,0.0,-59.719500000000004
28,1.234676,vegas,vegas,1.121,564.553,576.105,57.0,0.0,-55.3343
29,1.299705,vegas,vegas,1.078,629.26,582.243,57.0,0.0,-61.848
30,1.349438,vegas,vegas,1.121,617.794,582.615,58.0,0.0,-60.6584
31,1.382458,vegas,vegas,1.062,612.016,591.324,58.0,0.0,-60.1396
32,1.414862,vegas,vegas,1.038,620.414,598.393,58.0,0.0,-61.003400000000006
33,1.446777,vegas,vegas,1.055,606.266,604.469,58.0,0.0,-59.5716
34,1.499772,vegas,vegas,1.032,659.174,611.307,58.0,0.0,-64.8854
35,1.536619,vegas,vegas,1.03,625.702,626.586,58.0,0.0,-61.5402
36,1.590094,vegas,vegas,1.033,668.671,631.98,59.0,0.0,-65.8341
37,1.621492,vegas,vegas,0.97,673.217,645.642,59.0,0.0,-66.35170000000001
38,1.678682,vegas,vegas,1.039,649.206,646.862,59.0,0.0,-63.881600000000006
39,1.706335,vegas,vegas,1.01,657.478,646.749,59.0,0.0,-64.7378
40,1.750607,vegas,vegas,0.987,691.25,652.312,59.0,0.0,-68.138
41,1.786956,vegas,vegas,1.062,656.657,654.415,59.0,0.0,-64.6037
42,1.833198,vegas,vegas,1.006,650.177,654.348,60.0,0.0,-64.0117
43,1.87087,vegas,vegas,1.047,636.124,641.972,60.0,0.0,-62.56540000000001
44,1.935475,vegas,vegas,1.052,635.57,637.445,60.0,0.0,-62.50500000000001
45,1.994398,vegas,vegas,1.019,636.551,642.524,60.0,0.0,-62.636100000000006
46,2.061143,vegas,vegas,1.073,666.351,643.639,61.0,0.0,-65.56210000000002
47,2.090934,vegas,vegas,1.049,591.327,643.968,61.0,0.0,-58.0837
48,2.114897,vegas,vegas,1.019,600.956,638.595,61.0,0.0,-59.076600000000006
49,2.180269,vegas,vegas,1.067,641.665,632.797,61.0,0.0,-63.0995
50,2.221991,vegas,vegas,1.065,632.021,632.7,62.0,0.0,-62.137100000000004
51,2.262885,vegas,vegas,1.031,584.282,630.916,62.0,0.0,-57.397200000000005
52,2.299387,vegas,vegas,1.053,620.54,626.569,62.0,0.0,-61.001000000000005
53,2.379532,vegas,vegas,1.003,628.539,618.73,62.0,0.0,-61.8509
54,2.446443,vegas,vegas,1.058,659.311,625.774,63.0,0.0,-64.8731
55,2.534389,vegas,vegas,1.105,695.991,639.069,63.0,0.0,-68.4941
56,2.558754,vegas,vegas,1.094,623.642,649.738,63.0,0.0,-61.27020000000001
57,2.636433,vegas,vegas,1.094,641.626,653.161,63.0,0.0,-63.068599999999996
58,2.679203,vegas,vegas,1.092,667.967,654.047,64.0,0.0,-65.7047
59,2.705159,vegas,vegas,1.058,643.791,652.769,64.0,0.0,-63.32110000000001
60,2.735149,vegas,vegas,1.085,655.63,651.699,64.0,0.0,-64.47800000000001
61,2.769088,vegas,vegas,1.112,639.915,649.277,64.0,0.0,-62.8795
62,2.828054,vegas,vegas,1.086,647.626,655.465,64.0,0.0,-63.67660000000001
63,2.867858,vegas,vegas,1.136,629.133,653.903,65.0,0.0,-61.777300000000004
64,2.961947,vegas,vegas,1.122,722.744,661.011,65.0,0.0,-71.1524
65,3.157285,vegas,vegas,1.057,856.747,693.138,65.0,0.0,-84.6177
66,3.22282,vegas,vegas,1.104,663.629,695.807,66.0,0.0,-65.25890000000001
67,3.294507,vegas,vegas,1.119,658.592,678.923,67.0,0.0,-64.7402
68,3.319112,vegas,vegas,1.117,683.331,677.805,67.0,0.0,-67.2161
