step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.027541,yeah,yeah,0.082,120.207,133.841,10.0,0.0,-11.938699999999999
1,0.076807,yeah,yeah,0.154,169.885,140.125,12.0,0.0,-16.8345
2,0.109893,yeah,yeah,0.482,203.119,167.089,18.0,0.0,-19.829900000000002
3,0.151323,yeah,yeah,0.961,123.97,160.075,21.0,0.0,-11.436
4,0.219605,yeah,yeah,0.849,162.87,155.615,23.0,0.0,-15.438000000000002
5,0.259399,yeah,yeah,0.886,182.576,156.417,27.0,0.0,-17.3716
6,0.30387,yeah,yeah,0.952,205.274,165.389,30.0,0.0,-19.575400000000002
7,0.334951,yeah,yeah,0.958,225.162,182.827,37.0,0.0,-21.558200000000003
8,0.418776,yeah,yeah,1.138,267.41,201.247,42.0,0.0,-25.603
9,0.475112,yeah,yeah,1.357,255.143,212.636,48.0,0.0,-24.157300000000003
10,0.511892,yeah,yeah,1.09,292.162,229.549,53.0,0.0,-28.1262
11,0.563311,yeah,yeah,1.07,303.741,238.823,54.0,0.0,-29.3041
12,0.60819,yeah,yeah,1.28,299.214,276.291,55.0,0.0,-28.6414
13,0.655791,yeah,yeah,1.084,347.273,287.677,55.0,0.0,-33.6433
14,0.685878,yeah,yeah,1.014,377.529,318.123,55.0,0.0,-36.7389
15,0.72204,yeah,yeah,1.106,394.583,350.964,55.0,0.0,-38.35230000000001
16,0.765487,yeah,yeah,1.086,430.465,360.902,55.0,0.0,-41.9605
17,0.807406,yeah,yeah,1.055,453.043,404.741,56.0,0.0,-44.249300000000005
18,0.846676,yeah,yeah,0.997,492.187,415.672,56.0,0.0,-48.221700000000006
19,0.917,yeah,yeah,1.114,498.512,443.736,56.0,0.0,-48.73720000000001
20,0.954829,yeah,yeah,1.046,536.652,475.191,56.0,0.0,-52.619200000000006
21,0.998607,yeah,yeah,1.077,502.833,488.873,57.0,0.0,-49.206300000000006
22,1.026605,yeah,yeah,1.146,460.981,478.5,57.0,0.0,-44.9521
23,1.075878,yeah,yeah,1.181,510.519,480.588,57.0,0.0,-49.870900000000006
24,1.106924,yeah,yeah,1.114,540.382,505.051,57.0,0.0,-52.9242
25,1.133349,yeah,yeah,1.092,567.451,517.953,57.0,0.0,-55.65310000000001
26,1.19658,yeah,yeah,1.105,618.358,540.535,58.0,0.0,-60.7308
27,1.234712,yeah,yeah,1.139,560.353,558.04,58.0,0.0,-54.8963
28,1.266946,yeah,yeah,1.138,570.539,560.109,58.0,0.0,-55.9159
29,1.313842,yeah,yeah,1.096,617.819,567.323,58.0,0.0,-60.685900000000004
30,1.368797,yeah,yeah,1.076,603.485,582.166,58.0,0.0,-59.2725
31,1.394492,yeah,yeah,1.09,610.014,587.936,58.0,0.0,-59.9114
32,1.419811,yeah,yeah,1.063,633.43,598.152,59.0,0.0,-62.279999999999994
33,1.484186,yeah,yeah,1.101,628.855,596.873,59.0,0.0,-61.78450000000001
34,1.534232,yeah,yeah,1.121,617.25,590.964,59.0,0.0,-60.604
35,1.564788,yeah,yeah,1.1,609.757,599.833,59.0,0.0,-59.875699999999995
36,1.600056,yeah,yeah,1.05,634.012,610.421,59.0,0.0,-62.3512
37,1.625569,yeah,yeah,1.029,625.901,617.004,60.0,0.0,-61.561099999999996
38,1.683426,yeah,yeah,1.041,663.243,624.661,60.0,0.0,-65.28330000000001
