step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.030616,bic,bic,0.097,149.276,136.875,11.0,0.0,-14.830600000000002
1,0.073181,bic,bic,0.346,191.47,152.472,15.0,0.0,-18.801000000000002
2,0.114601,bic,bic,0.559,114.045,164.516,20.0,0.0,-10.845500000000001
3,0.194882,bic,bic,0.854,164.19,154.055,23.0,0.0,-15.565000000000001
4,0.234175,bic,bic,0.9,185.269,155.711,27.0,0.0,-17.626900000000003
5,0.280472,bic,bic,0.907,207.604,168.094,31.0,0.0,-19.853400000000004
6,0.322102,bic,bic,1.013,233.497,185.423,38.0,0.0,-22.3367
7,0.3888,bic,bic,1.137,267.764,198.833,42.0,0.0,-25.639400000000002
8,0.450648,bic,bic,1.357,255.777,214.241,48.0,0.0,-24.2207
9,0.48609,bic,bic,1.093,291.154,244.63,50.0,0.0,-28.0224
10,0.536919,bic,bic,1.24,302.945,252.745,50.0,0.0,-29.0545
11,0.583159,bic,bic,1.102,301.099,287.825,50.0,0.0,-29.0079
12,0.630212,bic,bic,1.231,349.508,296.99,50.0,0.0,-33.7198
13,0.660618,bic,bic,1.231,379.953,324.543,50.0,0.0,-36.7643
14,0.697749,bic,bic,1.231,397.113,355.548,51.0,0.0,-38.4803
15,0.745259,bic,bic,1.231,444.515,366.669,51.0,0.0,-43.2205
16,0.811548,bic,bic,1.231,482.927,402.25,51.0,0.0,-47.0617
17,0.890329,bic,bic,1.231,501.738,435.951,51.0,0.0,-48.9428
18,0.93107,bic,bic,1.231,531.186,456.454,52.0,0.0,-51.887600000000006
19,0.973514,bic,bic,1.231,522.648,478.027,52.0,0.0,-51.03380000000001
20,1.050479,bic,bic,1.231,510.688,492.617,52.0,0.0,-49.8378
21,1.081159,bic,bic,1.231,528.362,501.222,52.0,0.0,-51.605199999999996
22,1.10811,bic,bic,1.231,526.461,507.081,53.0,0.0,-51.4151
23,1.133113,bic,bic,1.231,503.056,506.578,53.0,0.0,-49.0746
24,1.170174,bic,bic,1.151,540.016,510.758,53.0,0.0,-52.85059999999999
25,1.206899,bic,bic,1.117,536.134,523.222,53.0,0.0,-52.49640000000001
26,1.240871,bic,bic,1.096,543.058,527.808,53.0,0.0,-53.2098
27,1.288616,bic,bic,1.088,543.382,529.755,53.0,0.0,-53.2502
28,1.343259,bic,bic,1.093,584.588,536.659,53.0,0.0,-57.36579999999999
29,1.369057,bic,bic,1.111,547.35,541.864,54.0,0.0,-53.62400000000001
30,1.394474,bic,bic,1.052,565.102,545.507,54.0,0.0,-55.4582
31,1.459656,bic,bic,1.095,568.902,539.176,54.0,0.0,-55.79520000000001
32,1.513214,bic,bic,1.068,581.887,548.787,54.0,0.0,-57.1207
33,1.53956,bic,bic,1.042,584.97,563.602,54.0,0.0,-57.455000000000005
34,1.574956,bic,bic,1.018,601.412,572.199,55.0,0.0,-59.123200000000004
35,1.606619,bic,bic,1.008,556.09,578.139,55.0,0.0,-54.601000000000006
36,1.65921,bic,bic,1.042,608.764,581.967,55.0,0.0,-59.8344
37,1.697473,bic,bic,1.008,616.139,593.423,55.0,0.0,-60.6059
38,1.75311,bic,bic,1.02,644.835,599.519,55.0,0.0,-63.4635
39,1.794527,bic,bic,1.043,605.175,602.194,56.0,0.0,-59.4745
40,1.838763,bic,bic,0.995,649.181,608.067,56.0,0.0,-63.92310000000001
41,1.865492,bic,bic,1.009,576.986,611.495,56.0,0.0,-56.6896
42,1.911247,bic,bic,1.064,622.551,612.877,56.0,0.0,-61.191100000000006
43,1.946109,bic,bic,1.05,603.05,603.242,56.0,0.0,-59.255
44,1.989116,bic,bic,1.037,619.815,605.276,56.0,0.0,-60.94450000000001
45,2.031078,bic,bic,1.026,622.135,608.885,57.0,0.0,-61.1875
46,2.094246,bic,bic,1.082,633.794,601.986,57.0,0.0,-62.2974
47,2.11861,bic,bic,1.064,599.431,596.75,57.0,0.0,-58.87910000000001
48,2.154799,bic,bic,1.042,615.12,599.692,57.0,0.0,-60.47
49,2.221181,bic,bic,1.04,624.82,600.955,57.0,0.0,-61.44200000000001
50,2.25058,bic,bic,1.055,576.686,591.964,58.0,0.0,-56.613600000000005
51,2.277739,bic,bic,1.015,580.523,587.47,58.0,0.0,-57.0373
52,2.340628,bic,bic,1.079,587.474,587.813,58.0,0.0,-57.668400000000005
53,2.398309,bic,bic,1.05,620.271,588.09,58.0,0.0,-60.9771
