step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.029418,htcp,htcp,0.097,150.293,136.743,11.0,0.0,-14.932300000000001
1,0.070624,htcp,htcp,0.342,191.832,153.064,15.0,0.0,-18.8412
2,0.112785,htcp,htcp,0.558,114.243,165.046,18.0,0.0,-10.8663
3,0.136638,htcp,htcp,1.062,107.577,152.932,19.0,0.0,-9.6957
4,0.191224,htcp,htcp,0.848,162.079,154.075,19.0,0.0,-15.359900000000001
5,0.230714,htcp,htcp,0.889,182.494,155.358,21.0,0.0,-17.360400000000002
6,0.272947,htcp,htcp,0.952,202.148,161.207,23.0,0.0,-19.2628
7,0.298397,htcp,htcp,0.97,212.072,172.528,26.0,0.0,-20.2372
8,0.32625,htcp,htcp,1.095,189.649,184.348,28.0,0.0,-17.8699
9,0.387661,htcp,htcp,1.16,196.331,185.846,29.0,0.0,-18.4731
10,0.443958,htcp,htcp,1.18,252.742,195.356,31.0,0.0,-24.0942
11,0.467087,htcp,htcp,1.075,194.414,202.686,33.0,0.0,-18.366400000000002
12,0.534574,htcp,htcp,1.066,257.158,210.692,35.0,0.0,-24.649800000000003
13,0.579327,htcp,htcp,1.076,280.55,246.759,39.0,0.0,-26.979000000000003
14,0.628132,htcp,htcp,1.074,308.612,258.187,40.0,0.0,-29.787200000000002
15,0.658028,htcp,htcp,0.985,331.848,284.216,42.0,0.0,-32.1998
16,0.694037,htcp,htcp,1.155,306.561,295.378,44.0,0.0,-29.501099999999997
17,0.737784,htcp,htcp,1.02,350.184,302.229,45.0,0.0,-33.998400000000004
18,0.779213,htcp,htcp,1.114,333.187,317.067,48.0,0.0,-32.2047
19,0.81854,htcp,htcp,1.078,372.413,323.986,48.0,0.0,-36.1633
20,0.888172,htcp,htcp,1.06,420.923,350.87,51.0,0.0,-41.0323
21,0.927597,htcp,htcp,1.146,391.059,364.914,53.0,0.0,-37.959900000000005
22,0.952848,htcp,htcp,1.043,413.655,381.437,56.0,0.0,-40.3225
23,0.992622,htcp,htcp,1.083,435.493,392.975,57.0,0.0,-42.466300000000004
24,1.048395,htcp,htcp,1.105,420.46,401.806,60.0,0.0,-40.941
25,1.089857,htcp,htcp,1.16,431.54,409.241,63.0,0.0,-41.99400000000001
26,1.11638,htcp,htcp,1.114,449.987,418.468,64.0,0.0,-43.88470000000001
27,1.169456,htcp,htcp,1.107,490.837,429.023,65.0,0.0,-47.9767
28,1.203987,htcp,htcp,1.16,466.278,447.602,68.0,0.0,-45.46780000000001
29,1.238389,htcp,htcp,1.158,481.508,453.379,70.0,0.0,-46.9928
30,1.286108,htcp,htcp,1.131,529.151,462.851,70.0,0.0,-51.784099999999995
31,1.340353,htcp,htcp,1.095,521.554,486.937,72.0,0.0,-51.0604
32,1.370145,htcp,htcp,1.053,542.341,504.147,74.0,0.0,-53.18110000000001
33,1.398596,htcp,htcp,1.149,510.315,513.871,76.0,0.0,-49.8825
34,1.457288,htcp,htcp,1.159,568.939,521.055,78.0,0.0,-55.7349
35,1.51061,htcp,htcp,1.079,583.029,542.64,80.0,0.0,-57.2239
36,1.537877,htcp,htcp,1.063,608.995,564.026,82.0,0.0,-59.8365
37,1.573337,htcp,htcp,1.039,634.386,582.476,83.0,0.0,-62.3996
38,1.604887,htcp,htcp,1.031,612.32,605.809,86.0,0.0,-60.20100000000001
39,1.655169,htcp,htcp,1.059,662.689,612.919,86.0,0.0,-65.2099
40,1.694623,htcp,htcp,1.008,696.218,649.63,89.0,0.0,-68.6138
41,1.747266,htcp,htcp,1.036,698.944,655.648,90.0,0.0,-68.8584
42,1.774951,htcp,htcp,0.998,726.669,675.269,92.0,0.0,-71.6689
43,1.838639,htcp,htcp,0.992,733.477,697.194,94.0,0.0,-72.3557
44,1.863832,htcp,htcp,1.011,747.488,703.481,96.0,0.0,-73.73780000000001
45,1.90878,htcp,htcp,0.992,739.527,707.986,97.0,0.0,-72.9607
46,1.943902,htcp,htcp,1.034,757.943,717.686,99.0,0.0,-74.7603
47,1.986818,htcp,htcp,1.009,800.892,728.086,101.0,0.0,-79.0802
48,2.028266,htcp,htcp,1.01,789.722,753.672,104.0,0.0,-77.9622
49,2.09327,htcp,htcp,1.097,805.709,759.74,106.0,0.0,-79.4739
50,2.138074,htcp,htcp,1.074,798.027,776.541,109.0,0.0,-78.72870000000002
51,2.166739,htcp,htcp,1.043,799.886,783.23,110.0,0.0,-78.9456
52,2.212709,htcp,htcp,1.072,842.431,790.63,111.0,0.0,-83.17110000000001
53,2.237511,htcp,htcp,1.051,839.007,809.836,114.0,0.0,-82.8497
54,2.272414,htcp,htcp,1.049,864.32,822.104,116.0,0.0,-85.38300000000001
55,2.33862,htcp,htcp,1.104,827.819,830.98,118.0,0.0,-81.67790000000001
56,2.396464,htcp,htcp,1.119,879.359,837.29,120.0,0.0,-86.8169
57,2.420657,htcp,htcp,1.08,882.977,843.003,123.0,0.0,-87.21770000000001
58,2.458313,htcp,htcp,1.109,885.349,857.05,125.0,0.0,-87.42590000000001
59,2.537156,htcp,htcp,1.116,940.215,870.948,128.0,0.0,-92.9055
60,2.608034,htcp,htcp,1.118,936.758,890.694,130.0,0.0,-92.55780000000001
61,2.69459,htcp,htcp,1.079,1018.363,913.119,133.0,0.0,-100.75730000000001
62,2.793754,htcp,htcp,1.111,1018.311,950.964,138.0,0.0,-100.7201
63,2.835978,htcp,htcp,1.092,997.153,966.678,141.0,0.0,-98.62330000000001
64,2.862466,htcp,htcp,1.08,1023.753,980.069,143.0,0.0,-101.29530000000001
65,2.892034,htcp,htcp,1.102,1028.238,995.972,145.0,0.0,-101.7218
66,2.916481,htcp,htcp,1.112,1007.656,999.751,147.0,0.0,-99.65360000000001
67,2.985836,htcp,htcp,1.115,1076.81,1011.4,148.0,0.0,-106.566
68,3.011871,htcp,htcp,1.09,1068.03,1029.298,150.0,0.0,-105.713
69,3.118025,htcp,htcp,1.096,1127.724,1044.599,153.0,0.0,-111.6764
70,3.316176,htcp,htcp,1.075,1287.133,1106.66,156.0,0.0,-127.6383
71,3.352568,htcp,htcp,1.097,1185.215,1183.215,166.0,0.0,-117.42450000000001
72,3.377909,htcp,htcp,1.128,1165.227,1176.181,167.0,0.0,-115.39470000000001
73,3.411239,htcp,htcp,1.112,1181.707,1171.86,170.0,0.0,-117.05870000000002
74,3.455181,htcp,htcp,1.108,1225.358,1178.547,171.0,0.0,-121.42779999999999
75,3.488443,htcp,htcp,1.076,1230.138,1198.299,173.0,0.0,-121.93780000000001
76,3.536761,htcp,htcp,1.063,1278.498,1214.273,174.0,0.0,-126.78680000000001
77,3.567834,htcp,htcp,1.066,1281.541,1246.131,177.0,0.0,-127.0881
78,3.602958,htcp,htcp,1.076,1264.343,1247.736,178.0,0.0,-125.35830000000001
79,3.634635,htcp,htcp,1.087,1238.204,1253.801,180.0,0.0,-122.7334
80,3.657803,htcp,htcp,1.093,1261.264,1253.162,181.0,0.0,-125.03339999999999
81,3.686441,htcp,htcp,1.105,1289.67,1263.638,184.0,0.0,-127.86200000000001
82,3.719665,htcp,htcp,1.108,1298.851,1273.57,186.0,0.0,-128.77710000000002
83,3.786902,htcp,htcp,1.108,1328.591,1284.248,187.0,0.0,-131.75109999999998
84,3.820269,htcp,htcp,1.078,1361.822,1308.405,189.0,0.0,-135.1042
85,3.850345,htcp,htcp,1.068,1374.445,1324.275,190.0,0.0,-136.3765
86,3.909262,htcp,htcp,1.115,1371.507,1333.412,192.0,0.0,-136.0357
87,3.973103,htcp,htcp,1.107,1351.975,1348.184,195.0,0.0,-134.0905
88,4.032045,htcp,htcp,1.105,1411.041,1356.041,197.0,0.0,-139.9991
89,4.068885,htcp,htcp,1.14,1374.368,1363.135,200.0,0.0,-136.29680000000002
90,4.097184,htcp,htcp,1.129,1386.271,1368.421,202.0,0.0,-137.49810000000002
91,4.159493,htcp,htcp,1.112,1448.662,1381.523,204.0,0.0,-143.75420000000003
92,4.216792,htcp,htcp,1.1,1423.13,1395.191,207.0,0.0,-141.21300000000002
93,4.278161,htcp,htcp,1.132,1484.584,1419.508,210.0,0.0,-147.3264
94,4.328683,htcp,htcp,1.117,1492.752,1453.47,212.0,0.0,-148.15820000000002
95,4.378322,htcp,htcp,1.102,1515.792,1469.316,214.0,0.0,-150.47719999999998
96,4.404512,htcp,htcp,1.094,1512.399,1495.504,217.0,0.0,-150.1459
97,4.429889,htcp,htcp,1.108,1534.758,1508.198,219.0,0.0,-152.36780000000002
98,4.46309,htcp,htcp,1.107,1546.741,1518.312,220.0,0.0,-153.5671
99,4.497759,htcp,htcp,1.105,1512.092,1521.161,222.0,0.0,-150.10420000000002
100,4.526104,htcp,htcp,1.136,1530.502,1522.144,224.0,0.0,-151.9142
101,4.553883,htcp,htcp,1.135,1541.955,1524.62,225.0,0.0,-153.06050000000002
102,4.601019,htcp,htcp,1.134,1575.581,1532.647,226.0,0.0,-156.4241
103,4.626548,htcp,htcp,1.118,1590.315,1541.113,228.0,0.0,-157.91350000000003
104,4.658323,htcp,htcp,1.167,1540.669,1542.498,231.0,0.0,-152.89990000000003
105,4.687468,htcp,htcp,1.158,1569.847,1546.756,232.0,0.0,-155.82670000000002
106,4.715869,htcp,htcp,1.308,1400.52,1510.452,234.0,0.0,-138.744
107,4.777728,htcp,htcp,1.299,1462.02,1504.398,235.0,0.0,-144.903
108,4.806469,htcp,htcp,1.237,1491.157,1500.081,237.0,0.0,-147.8787
109,4.857849,htcp,htcp,1.235,1542.527,1505.387,238.0,0.0,-153.0177
110,4.888771,htcp,htcp,1.185,1573.263,1519.189,239.0,0.0,-156.1413
111,4.959803,htcp,htcp,1.174,1644.053,1542.387,241.0,0.0,-163.2313
112,4.99364,htcp,htcp,1.133,1678.052,1595.347,244.0,0.0,-166.6722
113,5.074371,htcp,htcp,1.124,1746.189,1643.578,247.0,0.0,-173.49490000000003
114,5.11203,htcp,htcp,1.09,1759.999,1674.325,249.0,0.0,-174.90990000000002
115,5.19619,htcp,htcp,1.107,1818.11,1718.421,252.0,0.0,-180.704
116,5.228903,htcp,htcp,1.078,1838.087,1745.392,254.0,0.0,-182.7307
117,5.258673,htcp,htcp,1.071,1847.283,1760.063,255.0,0.0,-183.6573
118,5.302791,htcp,htcp,1.066,1847.903,1776.5,256.0,0.0,-183.7243
119,5.329193,htcp,htcp,1.086,1818.338,1798.683,259.0,0.0,-180.74779999999998
120,5.361834,htcp,htcp,1.104,1824.767,1804.978,261.0,0.0,-181.3727
121,5.440743,htcp,htcp,1.112,1882.54,1820.517,263.0,0.0,-187.14200000000002
122,5.487044,htcp,htcp,1.075,1919.035,1841.177,265.0,0.0,-190.82850000000002
123,5.518038,htcp,htcp,1.083,1914.118,1867.737,268.0,0.0,-190.3288
124,5.548295,htcp,htcp,1.078,1930.642,1881.667,269.0,0.0,-191.98620000000003
125,5.632419,htcp,htcp,1.083,1974.483,1901.923,271.0,0.0,-196.36530000000002
126,5.688545,htcp,htcp,1.06,2020.505,1926.193,274.0,0.0,-200.99050000000003
127,5.726822,htcp,htcp,1.065,2020.137,1962.752,277.0,0.0,-200.9487
128,5.782958,htcp,htcp,1.061,2075.953,1976.902,278.0,0.0,-206.5343
129,5.848461,htcp,htcp,1.056,2061.314,2005.028,281.0,0.0,-205.07539999999997
130,5.876197,htcp,htcp,1.067,2055.865,2023.863,284.0,0.0,-204.5195
131,5.904871,htcp,htcp,1.081,2054.406,2030.621,286.0,0.0,-204.35960000000003
132,5.954154,htcp,htcp,1.077,2103.654,2039.75,286.0,0.0,-209.28840000000002
133,6.015672,htcp,htcp,1.092,2106.932,2054.675,289.0,0.0,-209.60119999999998
134,6.057669,htcp,htcp,1.066,2083.912,2079.344,292.0,0.0,-207.3252
135,6.121338,htcp,htcp,1.068,2148.304,2089.579,294.0,0.0,-213.7624
136,6.182936,htcp,htcp,1.089,2150.684,2110.38,297.0,0.0,-213.97940000000003
137,6.208327,htcp,htcp,1.077,2139.517,2124.413,300.0,0.0,-212.8747
138,6.264904,htcp,htcp,1.077,2195.946,2133.354,301.0,0.0,-218.51760000000002
139,6.296228,htcp,htcp,1.069,2188.987,2165.878,304.0,0.0,-217.82970000000003
140,6.325933,htcp,htcp,1.096,2156.222,2163.928,306.0,0.0,-214.52620000000002
141,6.355983,htcp,htcp,1.075,2186.227,2168.507,308.0,0.0,-217.54770000000002
142,6.426978,htcp,htcp,1.081,2257.042,2188.274,310.0,0.0,-224.62320000000003
143,6.456907,htcp,htcp,1.09,2240.317,2201.112,312.0,0.0,-222.9417
144,6.516062,htcp,htcp,1.078,2289.902,2224.014,314.0,0.0,-227.9122
145,6.548934,htcp,htcp,1.092,2250.306,2242.008,317.0,0.0,-223.9386
146,6.597648,htcp,htcp,1.086,2299.123,2249.148,317.0,0.0,-228.8263
147,6.625247,htcp,htcp,1.106,2246.891,2259.54,321.0,0.0,-223.58310000000003
148,6.676442,htcp,htcp,1.103,2297.533,2264.289,322.0,0.0,-228.6503
149,6.710966,htcp,htcp,1.088,2306.479,2288.61,325.0,0.0,-229.5599
150,6.738113,htcp,htcp,1.091,2319.808,2296.901,327.0,0.0,-230.8898
151,6.789334,htcp,htcp,1.089,2359.156,2307.191,328.0,0.0,-234.8266
152,6.816495,htcp,htcp,1.078,2379.471,2326.353,329.0,0.0,-236.8691
153,6.856949,htcp,htcp,1.081,2378.358,2345.524,332.0,0.0,-236.75480000000005
154,6.907063,htcp,htcp,1.081,2409.503,2357.117,333.0,0.0,-239.86930000000004
155,6.938885,htcp,htcp,1.075,2423.736,2378.678,335.0,0.0,-241.29860000000002
156,6.969359,htcp,htcp,1.062,2442.882,2393.769,336.0,0.0,-243.2262
157,6.999899,htcp,htcp,1.07,2399.008,2410.075,339.0,0.0,-238.8308
158,7.058534,htcp,htcp,1.078,2457.634,2415.568,340.0,0.0,-244.68540000000002
159,7.125467,htcp,htcp,1.083,2498.454,2439.397,343.0,0.0,-248.76240000000004
160,7.156697,htcp,htcp,1.065,2510.003,2471.611,346.0,0.0,-249.93530000000004
161,7.185697,htcp,htcp,1.066,2517.831,2488.543,348.0,0.0,-250.71710000000002
162,7.236592,htcp,htcp,1.067,2549.02,2496.103,348.0,0.0,-253.835
163,7.273962,htcp,htcp,1.059,2557.826,2530.739,351.0,0.0,-254.7236
164,7.3065,htcp,htcp,1.08,2529.123,2533.201,354.0,0.0,-251.8323
165,7.359292,htcp,htcp,1.081,2563.299,2536.964,354.0,0.0,-255.24890000000002
166,7.386019,htcp,htcp,1.071,2579.515,2547.698,356.0,0.0,-256.8805
167,7.408996,htcp,htcp,1.087,2539.621,2549.659,358.0,0.0,-252.87510000000003
168,7.458193,htcp,htcp,1.09,2569.555,2552.146,359.0,0.0,-255.86549999999997
169,7.48064,htcp,htcp,1.075,2576.498,2559.288,361.0,0.0,-256.57480000000004
170,7.505732,htcp,htcp,1.079,2601.688,2564.588,361.0,0.0,-259.0898
171,7.556801,htcp,htcp,1.106,2574.166,2557.976,363.0,0.0,-256.3106
172,7.588043,htcp,htcp,1.09,2594.289,2573.412,367.0,0.0,-258.3389000000001
173,7.616271,htcp,htcp,1.088,2600.229,2583.798,368.0,0.0,-258.93489999999997
174,7.645991,htcp,htcp,1.092,2572.113,2590.966,370.0,0.0,-256.1193
175,7.681878,htcp,htcp,1.107,2589.854,2588.365,372.0,0.0,-257.87839999999994
176,7.735674,htcp,htcp,1.111,2623.557,2593.741,373.0,0.0,-261.2447
177,7.80617,htcp,htcp,1.102,2669.996,2618.83,376.0,0.0,-265.89760000000007
178,7.836076,htcp,htcp,1.109,2640.131,2625.459,378.0,0.0,-262.9041
179,7.866055,htcp,htcp,1.11,2660.161,2632.813,379.0,0.0,-264.9061
180,7.894775,htcp,htcp,1.107,2665.969,2641.106,381.0,0.0,-265.4899
181,7.918873,htcp,htcp,1.108,2660.37,2643.514,382.0,0.0,-264.929
182,7.975716,htcp,htcp,1.127,2672.79,2644.833,384.0,0.0,-266.152
183,8.026423,htcp,htcp,1.101,2723.437,2659.955,386.0,0.0,-271.2427
184,8.06044,htcp,htcp,1.099,2730.797,2680.643,389.0,0.0,-271.9807
185,8.08703,htcp,htcp,1.099,2749.795,2689.287,390.0,0.0,-273.88050000000004
