step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.03706,illinois,illinois,0.082,119.761,135.598,10.0,0.0,-11.8941
1,0.067309,illinois,illinois,0.097,150.383,137.446,11.0,0.0,-14.941300000000002
2,0.109626,illinois,illinois,0.343,192.576,153.367,15.0,0.0,-18.9146
3,0.151061,illinois,illinois,0.546,114.149,165.846,20.0,0.0,-10.868900000000002
4,0.176705,illinois,illinois,1.045,109.411,153.986,22.0,0.0,-9.8961
5,0.231214,illinois,illinois,0.847,163.771,155.209,23.0,0.0,-15.5301
6,0.269458,illinois,illinois,0.893,183.624,156.768,27.0,0.0,-17.4694
7,0.311752,illinois,illinois,0.946,201.736,162.389,30.0,0.0,-19.2276
8,0.337068,illinois,illinois,1.01,216.451,178.082,33.0,0.0,-20.635099999999998
9,0.374018,illinois,illinois,1.013,222.415,189.151,35.0,0.0,-21.228500000000004
10,0.425948,illinois,illinois,1.094,267.222,198.91,36.0,0.0,-25.6282
11,0.48744,illinois,illinois,1.357,256.06,211.51,39.0,0.0,-24.249000000000002
12,0.522082,illinois,illinois,1.09,290.68,240.117,42.0,0.0,-27.978
13,0.572944,illinois,illinois,1.147,303.555,249.409,43.0,0.0,-29.208500000000004
14,0.618732,illinois,illinois,1.264,303.435,278.387,46.0,0.0,-29.079500000000003
15,0.668915,illinois,illinois,1.145,353.828,290.56,47.0,0.0,-34.23779999999999
16,0.697407,illinois,illinois,0.998,360.576,319.409,49.0,0.0,-35.0596
17,0.733546,illinois,illinois,1.068,375.85,342.932,52.0,0.0,-36.517
18,0.77642,illinois,illinois,1.048,402.738,350.408,52.0,0.0,-39.2258
19,0.818715,illinois,illinois,1.123,392.493,374.854,55.0,0.0,-38.12630000000001
20,0.856965,illinois,illinois,1.033,430.852,381.854,56.0,0.0,-42.0522
21,0.927727,illinois,illinois,1.022,440.37,408.24,58.0,0.0,-43.01500000000001
22,0.966568,illinois,illinois,1.103,459.038,424.039,61.0,0.0,-44.8008
23,0.995025,illinois,illinois,1.062,422.251,441.45,64.0,0.0,-41.1631
24,1.032134,illinois,illinois,1.18,456.849,443.375,65.0,0.0,-44.5049
25,1.07616,illinois,illinois,1.103,499.615,452.445,67.0,0.0,-48.8585
26,1.107236,illinois,illinois,1.069,488.702,470.338,69.0,0.0,-47.8012
27,1.144756,illinois,illinois,1.185,475.584,471.575,71.0,0.0,-46.373400000000004
28,1.196821,illinois,illinois,1.169,527.809,478.604,72.0,0.0,-51.611900000000006
29,1.225365,illinois,illinois,1.092,527.893,491.326,74.0,0.0,-51.697300000000006
30,1.256623,illinois,illinois,1.103,541.087,502.401,76.0,0.0,-53.0057
31,1.324819,illinois,illinois,1.087,591.186,518.005,78.0,0.0,-58.031600000000005
32,1.379816,illinois,illinois,1.142,582.022,532.557,80.0,0.0,-57.0602
33,1.416539,illinois,illinois,1.048,597.729,569.258,83.0,0.0,-58.724900000000005
34,1.44808,illinois,illinois,1.135,581.488,575.78,85.0,0.0,-57.01380000000001
35,1.496379,illinois,illinois,1.135,630.191,582.582,85.0,0.0,-61.88410000000001
36,1.546056,illinois,illinois,1.068,618.215,600.582,87.0,0.0,-60.75350000000001
37,1.57614,illinois,illinois,1.087,648.195,614.722,89.0,0.0,-63.7325
38,1.612785,illinois,illinois,1.057,645.438,631.841,91.0,0.0,-63.4868
39,1.644263,illinois,illinois,1.057,676.73,647.527,93.0,0.0,-66.616
40,1.697054,illinois,illinois,1.061,719.426,656.514,94.0,0.0,-70.88160000000002
41,1.733293,illinois,illinois,1.03,738.117,694.707,97.0,0.0,-72.7817
42,1.785809,illinois,illinois,1.054,754.038,703.091,98.0,0.0,-74.3498
43,1.813173,illinois,illinois,0.993,776.032,723.449,99.0,0.0,-76.61020000000002
44,1.875605,illinois,illinois,1.025,790.026,740.754,101.0,0.0,-77.9776
45,1.901886,illinois,illinois,1.024,794.779,763.592,104.0,0.0,-78.4539
46,1.947308,illinois,illinois,1.02,839.934,773.135,105.0,0.0,-82.97340000000001
47,1.983163,illinois,illinois,1.005,838.777,794.519,107.0,0.0,-82.87270000000001
48,2.025894,illinois,illinois,0.994,828.984,807.911,108.0,0.0,-81.90440000000001
49,2.066781,illinois,illinois,1.031,841.325,816.486,112.0,0.0,-83.1015
50,2.13076,illinois,illinois,1.046,887.226,828.095,114.0,0.0,-87.6766
51,2.155021,illinois,illinois,1.007,877.884,843.777,115.0,0.0,-86.7814
52,2.190519,illinois,illinois,1.047,865.69,850.686,117.0,0.0,-85.52200000000002
53,2.254663,illinois,illinois,1.039,875.196,862.794,119.0,0.0,-86.48060000000001
54,2.286727,illinois,illinois,1.077,881.53,869.737,123.0,0.0,-87.07600000000001
