step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.016194,cubic,cubic,1.909,113.92,79.28,15.0,0.0,-9.483
1,0.048103,cubic,cubic,1.785,91.218,92.842,15.0,0.0,-7.3368
2,0.123675,cubic,cubic,2.227,107.598,91.431,15.0,0.0,-8.5328
3,0.166581,cubic,cubic,1.905,117.993,101.148,16.0,0.0,-9.894300000000001
4,0.194994,cubic,cubic,1.722,71.257,92.375,16.0,0.0,-5.403700000000001
5,0.264775,cubic,cubic,1.722,141.159,98.43,16.0,0.0,-12.3939
6,0.303503,cubic,cubic,2.284,108.593,92.186,12.0,4.0,-8.575300000000002
7,0.334018,cubic,cubic,1.889,69.144,88.425,11.0,4.0,-5.0254
8,0.368593,cubic,cubic,1.899,63.847,83.195,11.0,0.0,-4.4857000000000005
9,0.411304,cubic,cubic,1.45,77.333,80.35,11.0,0.0,-6.2833
10,0.455913,cubic,cubic,1.647,88.225,80.72,12.0,0.0,-7.1754999999999995
11,0.499211,cubic,cubic,1.498,87.728,78.725,12.0,0.0,-7.2748
12,0.548375,cubic,cubic,1.584,92.637,81.453,12.0,0.0,-7.6797
13,0.602074,cubic,cubic,1.452,102.772,79.95,13.0,0.0,-8.8252
14,0.63427,cubic,cubic,1.5,85.814,78.908,13.0,0.0,-7.0814
15,0.706605,cubic,cubic,1.599,158.031,90.345,13.0,0.0,-14.2041
16,0.761762,cubic,cubic,1.484,126.397,89.466,9.0,11.0,-11.155700000000001
17,0.862681,cubic,cubic,1.35,155.89,95.086,9.0,0.0,-14.238999999999999
18,0.913602,cubic,cubic,1.232,51.214,104.511,10.0,0.0,-3.8894
19,1.024141,cubic,cubic,1.036,161.624,102.53,10.0,0.0,-15.126400000000002
20,1.177077,cubic,cubic,1.173,152.866,117.421,10.0,0.0,-14.113600000000002
21,1.241695,cubic,cubic,0.758,64.49,125.915,12.0,0.0,-5.691
22,1.305051,cubic,cubic,0.758,128.187,126.199,12.0,0.0,-12.0607
23,1.336906,cubic,cubic,0.834,159.919,130.635,12.0,0.0,-15.157900000000001
24,1.400027,cubic,cubic,1.213,94.905,125.128,9.0,15.0,-8.2775
25,1.446555,cubic,cubic,0.904,141.565,123.879,8.0,14.0,-13.252500000000001
26,1.47072,cubic,cubic,0.949,70.724,112.069,8.0,0.0,-6.123400000000001
27,1.507205,cubic,cubic,0.976,60.54,105.63,8.0,0.0,-5.078
28,1.531608,cubic,cubic,0.655,84.917,103.041,8.0,0.0,-7.8366999999999996
29,1.558552,cubic,cubic,0.843,111.796,104.136,8.0,0.0,-10.3366
30,1.590299,cubic,cubic,0.829,82.957,106.891,9.0,0.0,-7.4667
31,1.636195,cubic,cubic,1.091,77.641,95.664,9.0,0.0,-6.673100000000001
32,1.683963,cubic,cubic,1.257,93.791,89.174,10.0,0.0,-8.1221
33,1.723761,cubic,cubic,1.111,87.506,89.475,10.0,0.0,-7.639600000000001
34,1.801085,cubic,cubic,1.461,116.774,91.42,10.0,0.0,-10.2164
35,1.869085,cubic,cubic,1.149,67.963,100.715,10.0,0.0,-5.6472999999999995
36,1.958692,cubic,cubic,1.502,134.114,101.733,11.0,0.0,-11.9094
