step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.052132,hybla,hybla,0.925,82.059,73.866,2.0,0.0,-7.2809
1,0.170531,hybla,hybla,1.359,118.444,81.81,11.0,0.0,-10.4854
2,0.238176,hybla,hybla,0.978,67.774,87.576,16.0,0.0,-5.7994
3,0.292852,hybla,hybla,1.075,54.886,76.34,11.0,0.0,-4.413600000000001
4,0.36028,hybla,hybla,1.367,66.793,67.408,8.0,12.0,-5.312300000000001
5,0.420793,hybla,hybla,1.387,56.703,65.837,11.0,0.0,-4.2833000000000006
6,0.495553,hybla,hybla,1.908,77.273,64.642,12.0,0.0,-5.8193
7,0.555532,hybla,hybla,1.499,61.394,67.846,8.0,0.0,-4.6404
8,0.639774,hybla,hybla,1.049,84.074,67.651,7.0,0.0,-7.358400000000001
9,0.689741,hybla,hybla,0.965,50.513,67.304,8.0,0.0,-4.0863000000000005
10,0.765494,hybla,hybla,1.103,75.353,64.127,9.0,0.0,-6.4323
11,0.816598,hybla,hybla,1.504,51.362,64.176,9.0,0.0,-3.6322000000000005
12,0.889986,hybla,hybla,1.337,124.536,70.323,9.0,0.0,-11.116600000000002
13,0.939524,hybla,hybla,1.424,49.626,68.571,11.0,0.0,-3.5386
14,1.000874,hybla,hybla,1.582,61.388,62.439,11.0,0.0,-4.5568
15,1.048063,hybla,hybla,1.952,47.051,60.133,7.0,0.0,-2.7531000000000008
16,1.146538,hybla,hybla,1.367,90.498,63.516,8.0,0.0,-7.682800000000001
17,1.201831,hybla,hybla,1.023,55.205,65.434,8.0,0.0,-4.4975000000000005
18,1.299259,hybla,hybla,1.023,97.426,67.336,10.0,0.0,-8.719600000000002
19,1.408744,hybla,hybla,1.189,109.525,78.785,10.0,0.0,-9.7635
20,1.480761,hybla,hybla,1.058,71.986,86.816,10.0,0.0,-6.140600000000001
21,1.534655,hybla,hybla,1.058,53.56,77.297,10.0,0.0,-4.298000000000001
22,1.589404,hybla,hybla,1.609,54.921,74.5,10.0,0.0,-3.8831000000000007
23,1.724408,hybla,hybla,1.897,135.092,80.603,10.0,0.0,-11.612200000000001
24,1.770579,hybla,hybla,0.898,46.268,90.805,12.0,0.0,-3.7288
25,1.807218,hybla,hybla,0.857,82.952,89.823,12.0,0.0,-7.438199999999999
26,1.926803,hybla,hybla,0.988,155.957,97.343,12.0,0.0,-14.607700000000001
27,1.978791,hybla,hybla,0.971,52.057,109.15,8.0,5.0,-4.2347
28,2.034073,hybla,hybla,0.777,55.276,86.632,8.0,0.0,-4.7506
29,2.087517,hybla,hybla,1.343,53.562,73.165,9.0,0.0,-4.0132
30,2.121518,hybla,hybla,2.156,74.099,70.402,9.0,0.0,-5.2539
31,2.157676,hybla,hybla,1.609,70.012,70.76,9.0,0.0,-5.392200000000001
32,2.18464,hybla,hybla,1.562,63.197,69.377,10.0,0.0,-4.757700000000001
33,2.228862,hybla,hybla,1.609,71.437,68.96,10.0,0.0,-5.5347
34,2.254713,hybla,hybla,1.621,69.817,69.585,10.0,0.0,-5.3607
35,2.341609,hybla,hybla,1.621,87.103,65.344,10.0,0.0,-7.0893
36,2.372484,hybla,hybla,1.329,95.349,71.86,10.0,0.0,-8.2059
37,2.422318,hybla,hybla,1.329,49.676,67.522,11.0,0.0,-3.638600000000001
38,2.494386,hybla,hybla,2.334,71.886,61.451,11.0,0.0,-4.8546
39,2.542271,hybla,hybla,2.593,48.044,58.142,13.0,0.0,-2.2114000000000003
