step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.049534,bbr,bbr,2.743,75.9,44.86,9.0,0.0,-4.847000000000001
1,0.0914,bbr,bbr,2.061,42.156,45.151,11.0,0.0,-2.1546000000000003
2,0.120118,bbr,bbr,2.472,28.79,36.7,9.0,7.0,-0.40700000000000003
3,0.189854,bbr,bbr,4.316,69.497,39.526,7.0,0.0,-2.6337
4,0.228585,bbr,bbr,1.166,86.714,51.578,8.0,0.0,-7.5054
5,0.258638,bbr,bbr,1.166,30.151,47.507,8.0,0.0,-1.8491000000000004
6,0.292583,bbr,bbr,2.389,33.888,45.805,8.0,0.0,-0.9998
7,0.336837,bbr,bbr,2.735,44.295,45.616,8.0,0.0,-1.6945000000000001
8,0.380642,bbr,bbr,2.091,43.622,45.226,10.0,0.0,-2.2712000000000003
9,0.404499,bbr,bbr,2.613,24.084,42.26,10.0,0.0,0.20459999999999967
10,0.474453,bbr,bbr,2.654,69.752,45.803,10.0,0.0,-4.3212
11,0.527659,bbr,bbr,2.288,53.243,47.262,10.0,0.0,-3.036300000000001
12,0.558927,bbr,bbr,2.176,31.277,45.264,12.0,0.0,-0.9517000000000002
13,0.631043,bbr,bbr,3.701,103.415,51.006,12.0,0.0,-6.640500000000001
14,0.687282,bbr,bbr,1.766,56.056,57.741,8.0,0.0,-3.8396
15,0.787722,bbr,bbr,1.86,75.934,50.284,9.0,0.0,-5.7334
16,0.824409,bbr,bbr,1.373,36.932,51.423,9.0,0.0,-2.3202000000000007
17,0.850444,bbr,bbr,1.373,25.916,46.652,9.0,0.0,-1.2186000000000001
18,0.950296,bbr,bbr,2.822,99.696,49.037,9.0,0.0,-7.1476
19,1.002568,bbr,bbr,1.045,52.434,55.827,12.0,0.0,-4.1984
20,1.105529,bbr,bbr,1.394,102.95,61.718,12.0,0.0,-8.901000000000002
21,1.141061,bbr,bbr,1.237,35.419,73.443,8.0,0.0,-2.3049
22,1.230917,bbr,bbr,2.944,64.24,59.268,9.0,0.0,-3.4799999999999995
23,1.263075,bbr,bbr,1.622,32.036,58.738,9.0,0.0,-1.5816000000000001
24,1.294416,bbr,bbr,1.622,31.727,45.708,9.0,0.0,-1.5507000000000002
25,1.324447,bbr,bbr,2.89,29.813,43.639,10.0,0.0,-0.09129999999999994
26,1.371473,bbr,bbr,3.653,47.294,42.589,10.0,0.0,-1.0764
27,1.409667,bbr,bbr,2.448,37.724,42.502,12.0,0.0,-1.3243999999999998
28,1.456573,bbr,bbr,2.455,46.967,34.756,8.0,11.0,-2.2417
29,1.483326,bbr,bbr,2.466,51.272,36.787,8.0,5.0,-2.6612
30,1.515428,bbr,bbr,1.972,32.024,37.593,8.0,0.0,-1.2304000000000004
31,1.561123,bbr,bbr,2.894,45.643,38.599,9.0,0.0,-1.6703000000000001
32,1.60985,bbr,bbr,2.03,94.342,45.567,9.0,0.0,-7.404200000000001
33,1.648185,bbr,bbr,2.14,38.302,45.005,9.0,0.0,-1.6902
34,1.727284,bbr,bbr,2.14,77.835,47.743,11.0,0.0,-5.6434999999999995
35,1.754183,bbr,bbr,0.744,28.003,38.579,9.0,7.0,-2.0563000000000002
36,1.794862,bbr,bbr,1.488,45.046,39.381,7.0,0.0,-3.0166
37,1.882815,bbr,bbr,1.98,87.61,46.126,8.0,0.0,-6.781000000000001
38,1.970872,bbr,bbr,1.057,88.317,59.918,8.0,0.0,-7.774699999999999
39,2.021794,bbr,bbr,1.049,50.832,61.894,8.0,0.0,-4.0342
40,2.067735,bbr,bbr,1.049,45.689,58.661,8.0,0.0,-3.5199000000000003
41,2.117431,bbr,bbr,1.823,49.773,57.55,10.0,0.0,-3.1543000000000005
42,2.157599,bbr,bbr,2.327,40.161,55.376,10.0,0.0,-1.6891000000000007
43,2.184355,bbr,bbr,2.881,26.831,48.7,10.0,0.0,0.19789999999999974
44,2.211446,bbr,bbr,2.593,27.12,49.358,10.0,0.0,-0.11900000000000022
45,2.291781,bbr,bbr,4.263,80.306,50.803,12.0,0.0,-3.7676
46,2.319675,bbr,bbr,0.577,27.89,42.281,9.0,14.0,-2.212
47,2.372475,bbr,bbr,2.906,52.682,35.661,8.0,0.0,-2.3622
48,2.445243,bbr,bbr,3.59,48.679,35.335,9.0,0.0,-1.2779000000000007
49,2.544402,bbr,bbr,2.14,99.004,44.76,9.0,0.0,-7.760400000000001
50,2.633765,bbr,bbr,1.053,89.587,58.305,11.0,0.0,-7.9057
51,2.670113,bbr,bbr,1.287,36.268,58.977,11.0,0.0,-2.3398000000000003
52,2.716867,bbr,bbr,1.293,46.793,52.804,11.0,0.0,-3.3863000000000003
53,2.760743,bbr,bbr,2.475,43.669,49.85,7.0,0.0,-1.8919000000000001
54,2.790842,bbr,bbr,1.733,30.412,46.748,8.0,0.0,-1.3081999999999998
