step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.05939,westwood,westwood,1.768,79.314,64.801,10.0,0.0,-6.1634
1,0.105587,westwood,westwood,1.46,46.398,66.7,11.0,0.0,-3.1798
2,0.190636,westwood,westwood,1.606,84.947,64.82,17.0,0.0,-6.8887
3,0.23419,westwood,westwood,1.772,43.26,67.914,11.0,0.0,-2.5539999999999994
4,0.281634,westwood,westwood,1.339,22.926,39.433,11.0,0.0,-0.9535999999999998
5,0.362268,westwood,westwood,4.861,80.328,41.52,11.0,0.0,-3.1718
6,0.478553,westwood,westwood,1.503,116.967,64.533,7.0,0.0,-10.1937
7,0.508563,westwood,westwood,0.697,30.355,70.877,8.0,0.0,-2.3385000000000002
8,0.571525,westwood,westwood,3.049,37.169,53.976,8.0,0.0,-0.6678999999999999
9,0.611423,westwood,westwood,2.493,39.655,52.186,10.0,0.0,-1.4725000000000006
10,0.781408,westwood,westwood,2.919,170.245,65.579,10.0,0.0,-14.1055
11,0.856421,westwood,westwood,0.71,74.817,77.115,10.0,0.0,-6.7717
12,0.889019,westwood,westwood,1.334,32.483,72.037,10.0,0.0,-1.9143
13,0.919662,westwood,westwood,1.547,30.996,68.332,11.0,0.0,-1.5526000000000002
14,0.976547,westwood,westwood,3.038,56.799,63.584,11.0,0.0,-2.6419
15,1.256149,westwood,westwood,2.329,279.472,88.565,7.0,0.0,-25.618199999999998
16,1.313058,westwood,westwood,0.29,57.207,139.782,8.0,0.0,-5.430700000000001
17,1.367049,westwood,westwood,0.332,53.686,85.146,8.0,0.0,-5.036600000000001
18,1.559077,westwood,westwood,1.62,191.427,81.725,8.0,0.0,-17.5227
19,1.593619,westwood,westwood,0.424,34.312,65.932,10.0,0.0,-3.0072
20,1.66655,westwood,westwood,4.455,81.763,63.783,10.0,0.0,-3.721300000000001
21,1.884478,westwood,westwood,2.001,217.04,84.734,10.0,0.0,-19.703
22,1.913689,westwood,westwood,0.587,30.332,100.895,10.0,0.0,-2.4462
23,2.030426,westwood,westwood,3.812,116.675,87.583,11.0,0.0,-7.855500000000001
24,2.15573,westwood,westwood,1.357,125.203,93.585,11.0,0.0,-11.163300000000001
25,2.185884,westwood,westwood,1.018,30.456,85.694,12.0,0.0,-2.0276000000000005
