step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.022989,veno,veno,3.819,31.01,41.288,9.0,0.0,0.7179999999999995
1,0.08237,veno,veno,3.358,59.387,42.432,9.0,0.0,-2.5807000000000007
2,0.114056,veno,veno,1.753,31.719,44.592,11.0,0.0,-1.4189000000000005
3,0.138763,veno,veno,1.948,24.601,42.093,11.0,0.0,-0.5121000000000002
4,0.190909,veno,veno,1.095,76.836,42.857,9.0,7.0,-6.5886000000000005
5,0.231792,veno,veno,2.216,92.97,50.121,7.0,0.0,-7.081
6,0.261018,veno,veno,1.704,29.217,41.292,8.0,0.0,-1.2177
7,0.330639,veno,veno,3.503,69.531,43.32,8.0,0.0,-3.450100000000001
8,0.368837,veno,veno,1.923,38.277,43.224,8.0,0.0,-1.9047
9,0.39869,veno,veno,1.923,29.873,41.555,10.0,0.0,-1.0643000000000002
10,0.433161,veno,veno,3.878,34.433,40.665,10.0,0.0,0.43469999999999986
11,0.476545,veno,veno,3.364,43.396,41.006,10.0,0.0,-0.9756
12,0.520877,veno,veno,2.667,44.202,41.906,10.0,0.0,-1.7532000000000005
13,0.54489,veno,veno,2.619,24.217,40.175,12.0,0.0,0.19730000000000025
14,0.615136,veno,veno,2.619,70.226,43.931,12.0,0.0,-4.403600000000001
15,0.667603,veno,veno,1.648,52.358,52.545,8.0,5.0,-3.5878000000000005
16,0.699777,veno,veno,1.319,31.962,49.904,8.0,0.0,-1.8772000000000002
17,0.771761,veno,veno,1.77,72.108,52.679,9.0,0.0,-5.440800000000001
18,0.827895,veno,veno,1.445,55.728,55.192,9.0,0.0,-4.127800000000001
19,0.928061,veno,veno,3.197,100.189,54.59,11.0,0.0,-6.8219
20,0.964921,veno,veno,1.547,36.805,60.146,7.0,0.0,-2.1335000000000006
21,1.090459,veno,veno,2.517,99.635,51.304,8.0,0.0,-7.446500000000002
22,1.143377,veno,veno,0.94,53.072,57.155,8.0,0.0,-4.3672
23,1.242947,veno,veno,0.94,99.463,62.443,10.0,0.0,-9.006300000000001
24,1.282773,veno,veno,1.164,39.877,67.229,10.0,0.0,-2.8237000000000005
25,1.306885,veno,veno,1.164,24.169,61.847,10.0,0.0,-1.2529000000000001
26,1.370767,veno,veno,4.308,63.855,61.003,10.0,0.0,-2.0775000000000006
27,1.402721,veno,veno,1.814,31.947,57.689,10.0,0.0,-1.3807
28,1.43509,veno,veno,1.814,32.434,51.719,12.0,0.0,-1.4293999999999998
29,1.464484,veno,veno,3.57,29.257,46.806,12.0,0.0,0.6442999999999994
30,1.514447,veno,veno,3.57,49.915,42.146,8.0,5.0,-1.4215000000000004
31,1.541432,veno,veno,1.275,26.829,44.981,8.0,0.0,-1.4079000000000002
32,1.573807,veno,veno,1.856,32.221,43.897,9.0,0.0,-1.3660999999999996
33,1.598094,veno,veno,3.23,24.713,39.117,9.0,0.0,0.7586999999999997
34,1.624151,veno,veno,3.231,25.947,37.471,9.0,0.0,0.6362999999999999
35,1.656069,veno,veno,4.013,31.939,35.526,11.0,0.0,0.8190999999999997
36,1.702455,veno,veno,3.627,45.929,36.826,11.0,0.0,-0.9659000000000004
37,1.750287,veno,veno,2.518,47.688,41.541,7.0,0.0,-2.250800000000001
38,1.790592,veno,veno,1.7,39.698,41.989,8.0,0.0,-2.2698
39,1.867334,veno,veno,1.943,77.292,46.036,8.0,0.0,-5.786200000000001
40,1.894523,veno,veno,1.201,27.301,47.103,8.0,0.0,-1.5291000000000001
