step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.017614,vegas,vegas,2.022,60.167,45.261,9.0,0.0,-3.9947000000000004
1,0.050683,vegas,vegas,1.539,92.237,52.767,9.0,0.0,-7.684699999999999
2,0.126046,vegas,vegas,1.539,76.003,53.417,10.0,0.0,-6.061300000000001
3,0.16809,vegas,vegas,1.524,42.206,52.016,10.0,0.0,-2.6966
4,0.198125,vegas,vegas,2.744,28.819,45.013,12.0,0.0,-0.1378999999999997
5,0.267068,vegas,vegas,4.325,70.106,43.23,9.0,13.0,-2.6856
6,0.305195,vegas,vegas,2.355,38.319,43.929,8.0,0.0,-1.4769000000000005
7,0.334696,vegas,vegas,1.883,29.395,40.968,9.0,0.0,-1.0565000000000002
8,0.369349,vegas,vegas,2.72,34.496,40.159,9.0,0.0,-0.7296
9,0.412957,vegas,vegas,2.686,43.502,44.89,9.0,0.0,-1.6642000000000001
10,0.457361,vegas,vegas,2.394,44.69,44.588,9.0,0.0,-2.075
11,0.480476,vegas,vegas,2.332,22.932,41.897,11.0,0.0,0.038799999999999724
12,0.549889,vegas,vegas,2.591,69.251,45.317,11.0,0.0,-4.3341
13,0.603828,vegas,vegas,1.671,53.714,55.085,7.0,0.0,-3.7004
14,0.636281,vegas,vegas,1.17,32.458,51.978,8.0,0.0,-2.0758
15,0.707574,vegas,vegas,1.725,71.348,52.275,8.0,0.0,-5.409800000000001
16,0.763594,vegas,vegas,1.298,55.989,56.661,8.0,0.0,-4.3009
17,0.864883,vegas,vegas,1.654,76.577,52.514,8.0,0.0,-6.0037
18,0.901631,vegas,vegas,1.211,36.892,55.499,10.0,0.0,-2.4782
19,1.026237,vegas,vegas,4.453,99.781,52.303,10.0,0.0,-5.525100000000001
20,1.079262,vegas,vegas,1.175,52.959,62.032,12.0,0.0,-4.120900000000001
21,1.177542,vegas,vegas,1.175,98.173,66.55,12.0,0.0,-8.6423
22,1.207565,vegas,vegas,1.179,29.667,73.325,8.0,5.0,-1.7877000000000003
23,1.234108,vegas,vegas,0.943,27.056,54.878,8.0,0.0,-1.7626000000000004
24,1.306266,vegas,vegas,3.124,71.744,53.947,9.0,0.0,-4.0504
25,1.339279,vegas,vegas,1.452,32.82,53.263,9.0,0.0,-1.83
26,1.37046,vegas,vegas,1.452,31.498,50.542,11.0,0.0,-1.6978000000000004
27,1.402085,vegas,vegas,3.673,31.667,46.104,11.0,0.0,0.5062999999999995
28,1.44872,vegas,vegas,3.655,46.563,42.054,7.0,0.0,-1.001300000000001
29,1.476842,vegas,vegas,1.152,27.921,44.194,8.0,0.0,-1.6401000000000001
30,1.509266,vegas,vegas,1.493,36.698,43.257,8.0,0.0,-2.1768
31,1.559865,vegas,vegas,2.836,50.46,43.004,8.0,0.0,-2.2100000000000004
32,1.591808,vegas,vegas,1.836,32.056,41.636,8.0,0.0,-1.3696
33,1.6378,vegas,vegas,2.888,46.127,41.155,8.0,0.0,-1.7247000000000003
34,1.687185,vegas,vegas,2.009,48.177,42.033,10.0,0.0,-2.8087000000000004
35,1.725387,vegas,vegas,2.404,38.894,41.641,10.0,0.0,-1.4854000000000003
36,1.807939,vegas,vegas,2.975,77.653,45.85,10.0,0.0,-4.7903
37,1.872072,vegas,vegas,4.16,40.876,43.26,12.0,0.0,0.07240000000000002
38,1.958733,vegas,vegas,2.827,85.809,47.619,8.0,5.0,-5.7539
39,2.047147,vegas,vegas,1.08,88.788,66.604,8.0,0.0,-7.7988
