step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.025626,yeah,yeah,2.696,53.677,38.063,9.0,7.0,-2.6717
1,0.085818,yeah,yeah,3.883,60.392,43.692,7.0,0.0,-2.156200000000001
2,0.117929,yeah,yeah,1.343,32.101,45.68,8.0,0.0,-1.8671000000000002
3,0.142992,yeah,yeah,1.535,25.263,43.128,8.0,0.0,-0.9913000000000005
4,0.19423,yeah,yeah,2.751,76.094,47.249,8.0,0.0,-4.8584
5,0.235904,yeah,yeah,1.822,42.001,46.99,8.0,0.0,-2.3781
6,0.265792,yeah,yeah,1.654,29.882,41.752,10.0,0.0,-1.3342000000000005
7,0.333467,yeah,yeah,2.756,74.613,45.859,10.0,0.0,-4.705300000000001
8,0.372769,yeah,yeah,1.709,38.932,49.493,10.0,0.0,-2.1842
9,0.403083,yeah,yeah,1.709,30.619,47.134,12.0,0.0,-1.3529
10,0.437054,yeah,yeah,3.783,33.836,45.472,12.0,0.0,0.3994
11,0.480575,yeah,yeah,3.42,43.634,41.935,8.0,5.0,-0.9434000000000005
12,0.525272,yeah,yeah,2.124,44.504,42.642,8.0,0.0,-2.3264
13,0.62262,yeah,yeah,2.341,74.197,44.816,9.0,0.0,-5.0787
14,0.67145,yeah,yeah,1.404,48.819,48.541,9.0,0.0,-3.477900000000001
15,0.704195,yeah,yeah,1.404,32.848,46.58,11.0,0.0,-1.8808000000000002
16,0.778348,yeah,yeah,3.522,73.934,47.19,11.0,0.0,-3.8714
17,0.832111,yeah,yeah,1.566,53.752,57.743,7.0,0.0,-3.8092000000000006
18,0.932328,yeah,yeah,1.509,75.889,58.347,8.0,0.0,-6.0799
19,0.970178,yeah,yeah,1.219,37.817,57.722,8.0,0.0,-2.5627000000000004
20,1.094144,yeah,yeah,3.684,98.742,53.444,8.0,0.0,-6.190200000000002
21,1.146705,yeah,yeah,0.939,52.749,53.429,11.0,0.0,-4.3359000000000005
22,1.245746,yeah,yeah,1.173,99.093,59.137,11.0,0.0,-8.736300000000002
23,1.274338,yeah,yeah,1.168,28.61,66.919,7.0,0.0,-1.6930000000000003
24,1.311037,yeah,yeah,0.818,24.846,60.205,8.0,0.0,-1.6666000000000003
25,1.374202,yeah,yeah,2.301,63.248,56.722,8.0,0.0,-4.0238
26,1.406235,yeah,yeah,1.465,32.014,54.353,8.0,0.0,-1.7364000000000004
27,1.43854,yeah,yeah,1.465,32.319,49.161,8.0,0.0,-1.7669000000000004
28,1.468894,yeah,yeah,2.867,30.278,44.963,10.0,0.0,-0.16080000000000005
29,1.516029,yeah,yeah,3.584,47.034,45.222,10.0,0.0,-1.1194000000000002
30,1.553833,yeah,yeah,2.461,37.96,44.519,10.0,0.0,-1.3350000000000004
31,1.600915,yeah,yeah,3.988,46.851,42.483,12.0,0.0,-0.6971000000000003
32,1.628346,yeah,yeah,2.473,51.173,43.569,12.0,0.0,-2.6443000000000003
33,1.660147,yeah,yeah,2.472,31.747,42.181,8.0,5.0,-0.7027000000000001
34,1.706003,yeah,yeah,2.92,45.931,40.44,8.0,0.0,-1.6730999999999998
35,1.753807,yeah,yeah,2.018,47.905,41.373,9.0,0.0,-2.772500000000001
36,1.792969,yeah,yeah,2.176,38.842,41.057,9.0,0.0,-1.7081999999999997
37,1.873632,yeah,yeah,2.678,80.714,44.785,9.0,0.0,-5.393400000000001
38,1.898648,yeah,yeah,1.291,25.058,61.423,11.0,0.0,-1.2148000000000003
39,1.939264,yeah,yeah,1.435,40.486,48.302,11.0,0.0,-2.6135999999999995
40,2.025363,yeah,yeah,2.86,85.81,49.694,7.0,0.0,-5.721000000000002
41,2.112049,yeah,yeah,0.945,86.717,64.754,8.0,0.0,-7.726699999999999
42,2.166371,yeah,yeah,1.069,54.318,63.449,8.0,0.0,-4.3628
43,2.211584,yeah,yeah,1.706,45.298,61.181,8.0,0.0,-2.8238000000000008
44,2.26215,yeah,yeah,2.046,50.577,59.855,10.0,0.0,-3.0117000000000007
45,2.302219,yeah,yeah,2.29,40.03,57.377,10.0,0.0,-1.713
