step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.028767,bic,bic,1.985,60.267,45.868,9.0,0.0,-4.0417000000000005
1,0.060193,bic,bic,1.73,31.343,45.634,9.0,0.0,-1.4043
2,0.08681,bic,bic,1.73,25.481,43.115,11.0,0.0,-0.8181000000000003
3,0.136847,bic,bic,2.728,76.623,47.303,11.0,0.0,-4.9343
4,0.179611,bic,bic,2.262,42.516,48.174,7.0,0.0,-1.9895999999999998
5,0.208374,bic,bic,1.907,29.057,42.041,8.0,0.0,-0.9986999999999999
6,0.276659,bic,bic,3.594,68.119,43.522,8.0,0.0,-3.2179000000000006
7,0.315591,bic,bic,1.917,38.997,45.842,8.0,0.0,-1.9827000000000001
8,0.348642,bic,bic,1.917,32.841,43.474,10.0,0.0,-1.3671000000000004
9,0.379774,bic,bic,2.968,31.079,41.925,10.0,0.0,-0.13990000000000036
10,0.423748,bic,bic,2.976,75.231,44.908,10.0,0.0,-4.5470999999999995
11,0.468167,bic,bic,2.623,43.269,44.557,10.0,0.0,-1.7039
12,0.563684,bic,bic,2.675,71.922,45.555,12.0,0.0,-4.5172
13,0.614265,bic,bic,1.61,50.729,53.86,8.0,5.0,-3.4629000000000003
14,0.646939,bic,bic,1.288,32.663,50.597,8.0,0.0,-1.9782999999999997
15,0.719585,bic,bic,1.827,72.496,51.376,9.0,0.0,-5.4226
16,0.774496,bic,bic,1.438,54.693,56.129,9.0,0.0,-4.031300000000001
17,0.874412,bic,bic,4.762,75.926,52.079,11.0,0.0,-2.8306000000000013
18,0.911423,bic,bic,1.525,36.938,58.837,7.0,0.0,-2.1688000000000005
19,0.937635,bic,bic,1.068,26.159,52.36,8.0,0.0,-1.5478999999999998
20,1.036999,bic,bic,2.195,99.205,58.637,8.0,0.0,-7.7255
21,1.09258,bic,bic,0.934,55.314,58.222,8.0,0.0,-4.5974
22,1.18884,bic,bic,1.675,96.169,62.965,8.0,0.0,-7.941900000000001
23,1.232102,bic,bic,0.963,40.059,69.712,10.0,0.0,-3.0428999999999995
24,1.316439,bic,bic,4.591,62.626,63.961,10.0,0.0,-1.6715999999999998
25,1.349465,bic,bic,1.849,32.96,59.947,10.0,0.0,-1.4470000000000003
26,1.382062,bic,bic,1.849,32.182,56.477,12.0,0.0,-1.3692000000000004
27,1.412852,bic,bic,3.595,30.274,50.548,12.0,0.0,0.5676000000000001
28,1.458488,bic,bic,3.595,46.275,44.267,8.0,5.0,-1.0325000000000002
29,1.49622,bic,bic,2.004,37.929,44.113,8.0,0.0,-1.7889000000000004
30,1.520517,bic,bic,2.004,24.487,41.66,9.0,0.0,-0.4447000000000001
31,1.57087,bic,bic,3.785,50.189,45.788,9.0,0.0,-1.2339000000000002
32,1.602241,bic,bic,2.075,31.516,44.492,9.0,0.0,-1.0766
33,1.648916,bic,bic,2.076,46.399,44.73,11.0,0.0,-2.5639
34,1.696852,bic,bic,2.494,48.011,45.329,11.0,0.0,-2.3071000000000006
35,1.735044,bic,bic,2.413,38.247,45.321,7.0,0.0,-1.4117000000000002
36,1.813823,bic,bic,1.448,78.614,52.812,7.0,0.0,-6.413400000000001
37,1.836953,bic,bic,1.031,23.009,51.915,8.0,0.0,-1.2699
38,1.881876,bic,bic,1.179,44.954,48.449,8.0,0.0,-3.3164
39,1.967881,bic,bic,2.326,85.986,51.871,8.0,0.0,-6.272600000000001
40,2.055746,bic,bic,1.077,87.494,60.059,10.0,0.0,-7.6724
41,2.108821,bic,bic,1.323,53.454,64.873,10.0,0.0,-4.022400000000001
42,2.15389,bic,bic,1.323,45.227,62.417,10.0,0.0,-3.1996999999999995
43,2.204893,bic,bic,2.559,50.836,59.096,10.0,0.0,-2.5246000000000004
44,2.245241,bic,bic,2.279,39.86,56.692,12.0,0.0,-1.7070000000000003
45,2.27126,bic,bic,2.906,26.359,52.9,12.0,0.0,0.2700999999999998
46,2.298198,bic,bic,2.905,27.119,43.498,8.0,5.0,0.19309999999999983
47,2.376491,bic,bic,4.273,97.772,48.478,8.0,0.0,-5.504200000000001
48,2.401654,bic,bic,1.188,25.402,53.544,9.0,0.0,-1.3522000000000005
49,2.461489,bic,bic,4.103,35.853,50.864,9.0,0.0,0.5176999999999996
50,2.529028,bic,bic,2.907,67.554,48.319,9.0,0.0,-3.8484000000000007
51,2.629463,bic,bic,2.337,100.468,54.438,11.0,0.0,-7.709800000000001
52,2.717109,bic,bic,1.153,87.529,68.021,11.0,0.0,-7.5999
53,2.756124,bic,bic,1.153,39.122,70.04,7.0,0.0,-2.7592000000000003
54,2.803833,bic,bic,0.926,47.587,63.852,8.0,0.0,-3.8327
55,2.847593,bic,bic,1.947,43.725,61.336,8.0,0.0,-2.4255000000000004
56,2.877093,bic,bic,1.854,29.812,62.863,8.0,0.0,-1.1272000000000002
57,2.920596,bic,bic,2.119,43.219,56.8,8.0,0.0,-2.2029
58,3.013267,bic,bic,2.14,92.592,59.797,9.0,0.0,-7.119199999999999
59,3.062323,bic,bic,1.126,47.649,65.006,9.0,0.0,-3.6389
60,3.152269,bic,bic,1.126,91.076,66.375,11.0,0.0,-7.9816
61,3.222665,bic,bic,1.271,70.294,69.573,11.0,0.0,-5.7584
62,3.27692,bic,bic,1.271,54.523,67.956,7.0,0.0,-4.181300000000001
63,3.301663,bic,bic,1.153,24.767,58.673,8.0,0.0,-1.3237
64,3.356574,bic,bic,1.488,54.907,61.3,8.0,0.0,-4.002700000000001
65,3.38235,bic,bic,1.687,25.611,56.143,8.0,0.0,-0.8741000000000001
66,3.424631,bic,bic,1.266,67.92,57.617,8.0,0.0,-5.526000000000001
67,3.467017,bic,bic,2.188,42.295,54.033,8.0,0.0,-2.0415000000000005
68,3.545756,bic,bic,2.189,78.951,57.148,10.0,0.0,-5.706099999999999
69,3.61297,bic,bic,1.467,67.06,60.775,10.0,0.0,-5.239000000000001
70,3.67703,bic,bic,1.467,63.907,62.462,10.0,0.0,-4.9237
71,4.508773,bic,bic,1.727,829.82,158.567,1.0,100.0,-81.25500000000001
72,4.552228,bic,bic,0.154,45.582,203.488,10.0,15.0,-4.4042
73,4.58547,bic,bic,0.166,33.08,85.663,8.0,0.0,-3.142
74,4.628733,bic,bic,2.034,43.192,52.415,9.0,0.0,-2.2852000000000006
75,4.663552,bic,bic,2.411,34.575,51.163,9.0,0.0,-1.0465000000000004
76,4.693403,bic,bic,2.411,30.125,45.135,9.0,0.0,-0.6015000000000001
77,4.72271,bic,bic,3.015,29.261,43.151,11.0,0.0,0.0889000000000002
78,4.747256,bic,bic,3.166,24.596,33.155,9.0,7.0,0.7063999999999999
79,4.780661,bic,bic,3.953,34.846,33.386,7.0,0.0,0.4683999999999999
80,4.853986,bic,bic,2.428,73.198,38.483,8.0,0.0,-4.8918
81,4.880842,bic,bic,1.266,26.434,44.103,8.0,0.0,-1.3774000000000002
82,4.913278,bic,bic,1.266,32.515,40.729,8.0,0.0,-1.9855
83,4.944808,bic,bic,2.849,31.93,38.734,8.0,0.0,-0.34399999999999986
84,4.970359,bic,bic,2.849,25.343,36.321,10.0,0.0,0.3147000000000002
85,5.00454,bic,bic,3.626,34.25,34.983,10.0,0.0,0.20099999999999962
86,5.042335,bic,bic,2.095,37.918,33.954,10.0,0.0,-1.6968
87,5.069166,bic,bic,3.055,41.716,34.924,11.0,0.0,-1.1166000000000005
88,5.100776,bic,bic,3.36,31.697,33.614,11.0,0.0,0.1902999999999997
89,5.137098,bic,bic,3.653,36.31,33.562,11.0,0.0,0.021999999999999797
90,5.196321,bic,bic,3.188,59.032,37.75,7.0,0.0,-2.7152
91,5.221287,bic,bic,1.374,25.246,38.519,8.0,0.0,-1.1505999999999998
92,5.253612,bic,bic,1.374,32.149,40.88,8.0,0.0,-1.8409
93,5.290446,bic,bic,2.879,36.775,39.417,8.0,0.0,-0.7985000000000002
94,5.328405,bic,bic,2.52,37.922,39.23,8.0,0.0,-1.2721999999999998
95,5.376117,bic,bic,2.441,47.876,40.173,10.0,0.0,-2.3466000000000005
96,5.425808,bic,bic,2.42,25.082,36.276,10.0,0.0,-0.0882000000000005
97,5.457682,bic,bic,4.618,31.913,35.731,12.0,0.0,1.4267000000000003
98,5.528862,bic,bic,3.627,70.965,39.72,12.0,0.0,-3.469500000000001
99,5.587006,bic,bic,1.305,33.04,40.68,8.0,0.0,-1.9990000000000003
100,5.615278,bic,bic,2.805,28.145,39.113,9.0,0.0,-0.009500000000000064
101,5.691879,bic,bic,3.7,76.75,41.578,9.0,0.0,-3.9750000000000005
102,5.728164,bic,bic,1.358,36.483,40.941,11.0,0.0,-2.2903
103,5.753978,bic,bic,3.175,25.843,39.054,11.0,0.0,0.5906999999999996
104,5.842843,bic,bic,3.174,87.316,41.24,7.0,0.0,-5.557600000000001
105,5.893428,bic,bic,1.061,26.911,39.989,8.0,0.0,-1.6301000000000005
106,5.971503,bic,bic,3.442,77.972,42.066,8.0,0.0,-4.3552
107,5.995694,bic,bic,1.188,24.079,43.753,8.0,0.0,-1.2199000000000002
108,6.181752,bic,bic,1.188,185.944,59.395,8.0,0.0,-17.4064
109,6.247773,bic,bic,0.561,66.257,63.989,11.0,0.0,-6.064700000000001
110,6.331808,bic,bic,0.685,83.858,67.138,11.0,0.0,-7.700800000000001
111,6.423349,bic,bic,1.381,91.569,75.079,7.0,0.0,-7.7759
112,6.454208,bic,bic,0.885,30.737,72.924,8.0,0.0,-2.1887
113,6.58358,bic,bic,1.012,129.236,79.963,8.0,0.0,-11.9116
114,6.613664,bic,bic,0.717,30.337,79.153,8.0,0.0,-2.3167
115,6.739777,bic,bic,0.717,126.142,79.694,8.0,0.0,-11.8972
116,6.768586,bic,bic,0.734,28.833,78.421,10.0,0.0,-2.1493
117,6.885504,bic,bic,0.918,116.858,77.808,10.0,0.0,-10.767800000000001
118,6.911993,bic,bic,3.466,26.49,65.442,10.0,0.0,0.8170000000000002
119,7.03904,bic,bic,4.373,129.803,73.487,10.0,0.0,-8.607299999999999
120,7.183404,bic,bic,0.914,144.402,88.516,12.0,0.0,-13.5262
121,7.208708,bic,bic,0.802,25.625,92.117,12.0,0.0,-1.7605
