step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.026085,htcp,htcp,2.362,35.286,36.158,10.0,0.0,-1.1666000000000003
1,0.079966,htcp,htcp,3.278,30.356,32.755,12.0,0.0,0.2423999999999995
2,0.140278,htcp,htcp,3.814,60.252,35.598,8.0,5.0,-2.2112000000000007
3,0.171896,htcp,htcp,1.537,31.593,42.291,8.0,0.0,-1.6223
4,0.196817,htcp,htcp,1.537,25.011,40.131,9.0,0.0,-0.9641000000000002
5,0.248575,htcp,htcp,2.779,76.18,44.637,9.0,0.0,-4.839000000000001
6,0.290884,htcp,htcp,2.036,42.503,45.087,9.0,0.0,-2.2143
7,0.318524,htcp,htcp,2.452,27.647,40.19,11.0,0.0,-0.3127
8,0.387859,htcp,htcp,3.947,69.351,40.505,9.0,7.0,-2.9881
9,0.426873,htcp,htcp,2.402,87.364,49.945,7.0,0.0,-6.334400000000001
10,0.459973,htcp,htcp,1.169,33.08,46.668,8.0,0.0,-2.139
11,0.491288,htcp,htcp,2.364,31.42,44.762,8.0,0.0,-0.7780000000000005
12,0.535408,htcp,htcp,2.945,44.049,40.836,8.0,0.0,-1.4599000000000006
13,0.578919,htcp,htcp,2.104,43.458,41.164,10.0,0.0,-2.2417999999999996
14,0.622713,htcp,htcp,1.865,43.531,39.804,10.0,0.0,-2.4881
15,0.671763,htcp,htcp,2.661,68.795,43.428,10.0,0.0,-4.218500000000001
16,0.726339,htcp,htcp,2.353,54.496,45.448,10.0,0.0,-3.0966
17,0.757398,htcp,htcp,2.126,31.021,43.645,12.0,0.0,-0.9761000000000002
18,0.829658,htcp,htcp,3.358,103.273,49.721,12.0,0.0,-6.9693000000000005
19,0.886184,htcp,htcp,1.603,56.42,58.725,8.0,5.0,-4.039000000000001
20,0.985515,htcp,htcp,1.641,75.039,53.157,9.0,0.0,-5.862900000000001
21,1.022973,htcp,htcp,1.39,37.591,55.707,9.0,0.0,-2.3691000000000004
22,1.048294,htcp,htcp,1.39,25.396,49.941,9.0,0.0,-1.1496000000000002
23,1.148043,htcp,htcp,2.771,99.518,51.108,9.0,0.0,-7.1808000000000005
24,1.20049,htcp,htcp,1.047,52.608,57.181,11.0,0.0,-4.2138
25,1.299497,htcp,htcp,1.28,98.895,62.395,11.0,0.0,-8.6095
26,1.34007,htcp,htcp,1.171,40.542,63.663,11.0,0.0,-2.8832000000000004
27,1.364817,htcp,htcp,1.171,24.772,52.221,7.0,0.0,-1.3061999999999998
28,1.427948,htcp,htcp,1.99,63.186,47.921,8.0,0.0,-4.3286
29,1.461251,htcp,htcp,1.466,33.015,47.732,8.0,0.0,-1.8355000000000004
30,1.523287,htcp,htcp,2.947,30.256,40.843,8.0,0.0,-0.07860000000000023
