step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.068704,illinois,illinois,3.718,59.972,38.916,12.0,4.0,-2.2792000000000003
1,0.100628,illinois,illinois,3.09,92.303,47.895,10.0,0.0,-6.1403
2,0.125718,illinois,illinois,1.545,24.928,39.406,7.0,7.0,-0.9478000000000004
3,0.176589,illinois,illinois,2.148,50.642,40.967,7.0,0.0,-2.9162000000000003
4,0.218286,illinois,illinois,1.601,42.017,41.099,8.0,0.0,-2.6007000000000007
5,0.247854,illinois,illinois,1.653,29.465,37.8,8.0,0.0,-1.2935000000000003
6,0.316437,illinois,illinois,3.438,68.69,40.475,8.0,0.0,-3.4309999999999996
7,0.35616,illinois,illinois,1.937,39.511,41.16,10.0,0.0,-2.0141
8,0.386327,illinois,illinois,2.422,30.243,39.795,10.0,0.0,-0.6023000000000001
9,0.420102,illinois,illinois,3.83,33.733,39.038,10.0,0.0,0.4567000000000001
10,0.463223,illinois,illinois,3.434,43.106,39.546,12.0,0.0,-0.8765999999999998
11,0.507568,illinois,illinois,2.685,44.443,40.895,12.0,0.0,-1.7593
12,0.531383,illinois,illinois,2.606,23.776,39.817,8.0,5.0,0.22839999999999971
13,0.601496,illinois,illinois,2.085,69.58,41.013,8.0,0.0,-4.873
14,0.654716,illinois,illinois,1.834,53.725,43.646,9.0,0.0,-3.5385000000000004
15,0.686787,illinois,illinois,1.94,31.993,42.19,9.0,0.0,-1.2593
16,0.760556,illinois,illinois,2.897,73.66,50.124,9.0,0.0,-4.468999999999999
17,0.814595,illinois,illinois,1.414,53.947,55.44,11.0,0.0,-3.9807000000000006
18,0.917865,illinois,illinois,2.146,78.737,47.072,7.0,0.0,-5.7277
19,0.951207,illinois,illinois,1.03,33.578,51.886,8.0,0.0,-2.3278000000000008
20,1.081938,illinois,illinois,3.039,103.592,54.402,8.0,0.0,-7.320200000000002
21,1.130899,illinois,illinois,0.895,49.3,55.209,8.0,0.0,-4.035
22,1.230698,illinois,illinois,0.894,99.667,60.766,10.0,0.0,-9.072700000000001
23,1.268653,illinois,illinois,1.162,37.896,65.9,10.0,0.0,-2.6276
24,1.361827,illinois,illinois,4.182,68.241,64.829,10.0,0.0,-2.6421
25,1.389846,illinois,illinois,1.696,28.034,60.611,12.0,0.0,-1.1074
26,1.421714,illinois,illinois,1.696,31.875,57.019,12.0,0.0,-1.4915
27,1.451354,illinois,illinois,3.628,29.603,44.55,8.0,5.0,0.6677
28,1.498917,illinois,illinois,2.904,47.487,41.893,8.0,0.0,-1.8447000000000005
29,1.523419,illinois,illinois,1.706,72.14,46.289,9.0,0.0,-5.508000000000001
30,1.559729,illinois,illinois,2.194,23.147,44.099,9.0,0.0,-0.12069999999999981
31,1.610341,illinois,illinois,2.764,50.591,44.911,9.0,0.0,-2.295100000000001
32,1.642199,illinois,illinois,2.061,31.869,43.281,11.0,0.0,-1.1259000000000001
33,1.68819,illinois,illinois,3.635,46.008,43.622,11.0,0.0,-0.9658000000000007
34,1.736382,illinois,illinois,2.513,47.986,45.062,7.0,0.0,-2.2855999999999996
35,1.775725,illinois,illinois,1.692,39.267,44.653,8.0,0.0,-2.2347
36,1.853953,illinois,illinois,1.934,78.457,48.295,8.0,0.0,-5.9117
37,1.881936,illinois,illinois,1.181,27.394,45.683,8.0,0.0,-1.5583999999999998
38,1.922055,illinois,illinois,3.383,40.509,45.036,8.0,0.0,-0.6679000000000004
39,2.008245,illinois,illinois,2.284,86.335,49.282,10.0,0.0,-6.3495
40,2.097157,illinois,illinois,1.342,88.746,61.814,10.0,0.0,-7.532599999999999
41,2.148244,illinois,illinois,1.305,51.038,66.001,10.0,0.0,-3.7988
42,2.194895,illinois,illinois,1.305,46.687,61.958,10.0,0.0,-3.3637000000000006
43,2.244776,illinois,illinois,2.268,49.845,60.444,12.0,0.0,-2.716500000000001
44,2.285709,illinois,illinois,2.324,39.36,57.808,12.0,0.0,-1.612
45,2.311867,illinois,illinois,2.323,27.857,47.313,8.0,5.0,-0.46270000000000033
46,2.33797,illinois,illinois,2.341,26.132,38.954,8.0,0.0,-0.2722000000000002
47,2.416985,illinois,illinois,3.35,78.729,42.529,9.0,0.0,-4.5229
48,2.44255,illinois,illinois,1.324,25.546,44.37,9.0,0.0,-1.2306000000000001
49,2.499801,illinois,illinois,4.08,34.601,41.766,11.0,0.0,0.6198999999999999
50,2.524648,illinois,illinois,3.012,24.945,33.117,9.0,7.0,0.5174999999999996
51,2.57044,illinois,illinois,3.344,46.915,34.852,7.0,0.0,-1.3475000000000006
52,2.667388,illinois,illinois,1.768,96.589,44.934,8.0,0.0,-7.890900000000001
53,2.757851,illinois,illinois,0.959,90.135,57.878,8.0,0.0,-8.0545
54,2.797784,illinois,illinois,0.959,40.137,62.285,8.0,0.0,-3.0547
55,2.843612,illinois,illinois,1.028,45.855,60.231,10.0,0.0,-3.5574999999999997
56,2.887806,illinois,illinois,2.526,44.245,58.233,10.0,0.0,-1.8985000000000003
57,2.917146,illinois,illinois,2.615,29.464,50.613,10.0,0.0,-0.3313999999999999
58,2.960774,illinois,illinois,2.615,43.417,45.83,10.0,0.0,-1.7267000000000001
