step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.110345,yeah,yeah,2.768,42.708,48.55,54.0,0.0,-1.5028000000000006
1,0.255416,htcp,htcp,1.91,65.784,60.363,44.0,0.0,-4.668400000000001
2,1.146576,vegas,vegas,7.935,824.28,148.919,1.0,100.0,-74.493
3,1.271427,hybla,hybla,0.069,43.561,563.431,25.0,0.0,-4.287100000000001
4,1.33637,veno,veno,0.793,31.747,342.807,25.0,0.0,-2.3817
5,1.399487,cubic,cubic,0.869,27.509,168.6,25.0,0.0,-1.8819000000000001
6,1.495809,yeah,yeah,1.627,85.02,98.48,25.0,0.0,-6.875000000000001
7,1.587632,htcp,htcp,10.407,44.003,32.312,38.0,0.0,6.0066999999999995
8,1.667097,htcp,htcp,23.939,39.028,30.791,100.0,0.0,20.0362
9,1.744506,htcp,htcp,21.358,56.274,40.22,20.0,30.0,15.730599999999999
10,1.839395,htcp,htcp,0.632,59.31,41.907,65.0,15.0,-5.299000000000001
11,1.910744,htcp,htcp,3.894,31.897,39.799,12.0,39.0,0.7042999999999999
12,2.018771,yeah,yeah,4.992,77.223,39.321,60.0,0.0,-2.7303000000000006
13,2.100351,htcp,htcp,12.561,54.263,33.383,42.0,6.0,7.1347
14,2.235603,cubic,cubic,7.498,24.409,39.954,32.0,0.0,5.0571
15,2.335059,htcp,htcp,8.092,98.132,44.642,33.0,0.0,-1.7212000000000014
16,2.485834,htcp,htcp,6.859,109.798,51.661,41.0,0.0,-4.120800000000001
17,2.615469,htcp,htcp,10.478,91.5,38.644,64.0,0.0,1.3279999999999994
18,2.826878,htcp,htcp,6.482,191.761,67.801,34.0,13.0,-12.694100000000002
19,2.975469,htcp,htcp,1.781,82.975,79.433,64.0,0.0,-6.5165
20,3.231256,htcp,htcp,0.531,132.528,67.742,46.0,7.0,-12.7218
21,3.3845,cubic,cubic,3.239,138.326,107.623,14.0,3.0,-10.593599999999999
22,3.529174,htcp,htcp,0.379,137.329,100.626,32.0,0.0,-13.353900000000001
23,3.68578,veno,veno,1.349,138.009,78.273,34.0,0.0,-12.451899999999998
24,3.976787,hybla,hybla,1.038,127.304,93.612,32.0,0.0,-11.692400000000001
25,4.133706,yeah,yeah,1.788,144.708,79.388,32.0,0.0,-12.6828
26,4.416864,htcp,htcp,0.735,126.663,107.106,35.0,0.0,-11.9313
27,4.572314,htcp,htcp,2.61,145.983,89.214,55.0,0.0,-11.988300000000002
28,4.739745,htcp,htcp,3.849,150.103,79.744,85.0,0.0,-11.1613
29,4.857578,yeah,yeah,5.798,112.929,121.013,129.0,0.0,-5.494900000000001
30,5.089166,cubic,cubic,7.395,180.476,61.388,90.0,1.0,-10.6526
31,5.211576,cubic,cubic,3.722,122.439,142.037,42.0,26.0,-8.5219
32,5.346716,veno,veno,5.348,107.726,66.573,63.0,0.0,-5.424600000000001
33,5.499828,hybla,hybla,6.257,124.088,51.472,19.0,1.0,-6.1518
34,5.610818,veno,veno,1.739,82.114,53.907,45.0,0.0,-6.472400000000001
35,5.683559,htcp,htcp,9.698,31.408,33.043,46.0,0.0,6.5572
36,5.815445,htcp,htcp,6.199,53.427,51.497,92.0,0.0,0.8562999999999992
37,5.904956,cubic,cubic,21.44,88.383,40.008,67.0,0.0,12.601700000000001
38,5.979458,htcp,htcp,8.94,42.521,43.467,15.0,2.0,4.687899999999999
39,6.087014,htcp,htcp,4.528,42.916,57.047,23.0,3.0,0.23639999999999972
40,6.189359,cubic,cubic,0.889,100.73,59.003,39.0,0.0,-9.184000000000001
41,6.292503,htcp,htcp,10.63,76.907,34.53,40.0,0.0,2.939300000000001
42,6.453252,cubic,cubic,1.989,97.022,49.848,20.0,0.0,-7.713200000000001
43,6.535033,htcp,htcp,4.544,40.354,37.873,21.0,0.0,0.5085999999999995
44,6.646245,htcp,htcp,2.492,25.517,54.537,42.0,0.0,-0.05970000000000031
45,6.748512,htcp,htcp,8.43,99.567,51.011,42.0,0.0,-1.5267
46,6.88343,htcp,htcp,5.475,84.546,37.712,63.0,0.0,-2.9796000000000014
47,7.023059,htcp,htcp,12.381,76.692,36.834,121.0,0.0,4.7118
48,7.160768,cubic,cubic,0.379,43.595,57.673,82.0,14.0,-3.9804999999999997
49,7.30601,htcp,htcp,12.316,67.059,49.316,91.0,0.0,5.610100000000001
50,7.455374,htcp,htcp,15.366,83.935,48.589,84.0,3.0,6.972499999999998
51,7.59533,htcp,htcp,0.774,58.937,50.828,78.0,0.0,-5.1197
52,7.710554,htcp,htcp,10.334,67.46,45.901,39.0,18.0,3.588
53,7.810518,cubic,cubic,3.002,45.893,67.712,56.0,0.0,-1.5873000000000008
54,7.902106,veno,veno,4.708,50.54,42.237,26.0,0.0,-0.3460000000000001
55,7.991161,htcp,htcp,11.764,49.772,32.911,51.0,0.0,6.7867999999999995
56,8.099384,veno,veno,9.868,51.152,37.444,16.0,14.0,4.7528
57,8.2135,veno,veno,7.535,81.244,43.815,67.0,0.0,-0.5893999999999995
58,8.339486,htcp,htcp,10.399,53.33
