step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
0,0.121123,hybla,hybla,21.25,108.817,48.618,1.0,0.0,10.3683
1,0.251789,veno,veno,0.687,63.405,69.005,32.0,31.0,-5.6535
2,1.161119,htcp,htcp,0.072,51.712,338.717,89.0,0.0,-5.099200000000001
3,1.245542,westwood,westwood,13.447,25.093,34.062,89.0,0.0,10.9377
4,1.31529,bic,bic,29.11,33.478,29.539,167.0,0.0,25.7622
5,1.427846,illinois,illinois,36.261,117.09,57.622,206.0,0.0,24.552
6,1.520449,bic,bic,12.899,43.885,27.866,76.0,0.0,8.5105
7,1.598946,bic,bic,17.178,37.685,29.545,83.0,0.0,13.409500000000001
8,1.675888,illinois,illinois,25.072,52.517,33.032,94.0,0.0,19.8203
9,1.772481,illinois,illinois,22.902,58.191,40.853,169.0,0.0,17.082900000000002
10,1.843176,illinois,illinois,29.846,52.188,43.768,310.0,0.0,24.6272
11,1.951578,illinois,illinois,37.202,108.121,68.395,81.0,32.0,26.389899999999997
12,2.032911,illinois,illinois,15.355,67.457,40.562,162.0,19.0,8.609300000000001
13,2.161723,illinois,illinois,11.258,51.646,40.643,238.0,0.0,6.093399999999999
14,2.266556,bic,bic,33.784,123.625,62.727,129.0,22.0,21.421499999999998
15,2.418326,bic,bic,1.295,88.219,67.231,117.0,15.0,-7.5268999999999995
16,2.54706,bic,bic,33.892,96.446,38.865,175.0,0.0,24.247400000000003
17,2.757943,bic,bic,6.248,195.656,58.815,67.0,10.0,-13.317600000000002
18,2.906787,illinois,illinois,2.656,94.266,46.097,129.0,0.0,-6.7706
19,3.043912,bic,bic,8.734,33.781,37.729,205.0,0.0,5.3559
20,3.315323,illinois,illinois,1.092,125.569,91.135,49.0,25.0,-11.4649
21,3.462353,bic,bic,1.921,138.124,68.221,202.0,0.0,-11.8914
22,3.614634,illinois,illinois,6.065,138.516,46.06,283.0,0.0,-7.786599999999999
23,3.913763,illinois,illinois,1.878,138.916,42.453,30.0,42.0,-12.0136
24,4.066807,westwood,westwood,0.585,144.688,80.824,145.0,0.0,-13.8838
25,4.348579,bic,bic,1.587,130.788,83.208,219.0,0.0,-11.491800000000001
26,4.502357,westwood,westwood,3.261,149.786,65.715,329.0,0.0,-11.717600000000001
27,4.67223,bic,bic,0.469,141.262,95.222,3.0,49.0,-13.657200000000001
28,4.790325,bic,bic,0.81,115.044,53.102,77.0,30.0,-10.6944
29,5.021372,westwood,westwood,28.036,190.087,51.875,174.0,0.0,9.0273
30,5.143711,westwood,westwood,10.42,113.258,134.816,261.0,0.0,-0.905800000000001
31,5.279422,westwood,westwood,28.113,130.734,43.265,421.0,0.0,15.039599999999998
32,5.433637,hybla,hybla,3.166,124.548,62.172,2.0,60.0,-9.2888
33,5.542708,htcp,htcp,7.263,82.588,34.44,85.0,40.0,-0.9957999999999991
34,5.616194,veno,veno,13.49,41.157,33.339,85.0,0.0,9.374300000000002
35,5.748569,westwood,westwood,8.299,33.537,41.029,50.0,48.0,4.9453
36,5.912557,veno,veno,2.2,50.836,47.094,55.0,0.0,-2.8836000000000004
37,6.023501,veno,veno,8.538,25.291,30.947,109.0,0.0,6.008900000000001
38,6.12185,westwood,westwood,25.572,50.547,49.54,162.0,0.0,20.5173
39,6.225202,westwood,westwood,33.738,88.465,41.128,208.0,0.0,24.8915
40,6.389037,westwood,westwood,30.154,122.636,64.435,221.0,7.0,17.8904
41,6.466751,illinois,illinois,35.618,48.532,30.897,145.0,2.0,30.7648
42,6.583639,westwood,westwood,15.761,37.436,43.864,123.0,2.0,12.017399999999999
43,6.680677,veno,veno,21.769,130.603,55.012,123.0,2.0,8.708699999999997
44,6.816149,veno,veno,1.785,85.958,71.204,275.0,0.0,-6.8108
45,6.953576,westwood,westwood,37.067,102.983,60.929,313.0,23.0,26.7687
46,7.093531,illinois,illinois,22.685,67.839,49.998,45.0,24.0,15.9011
47,7.239806,westwood,westwood,29.163,77.781,46.847,201.0,13.0,21.3849
48,7.386554,illinois,illinois,16.48,82.92,39.589,160.0,0.0,8.188
49,7.526991,westwood,westwood,28.185,99.892,58.133,309.0,0.0,18.1958
50,7.597274,westwood,westwood,14.207,31.091,32.291,168.0,23.0,11.097900000000001
51,7.692995,illinois,illinois,31.65,94.049,62.493,223.0,0.0,22.245099999999997
52,7.784962,westwood,westwood,35.191,77.055,49.891,258.0,0.0,27.485500000000002
53,7.893979,illinois,illinois,8.789,50.925,30.076,137.0,11.0,3.6964999999999995
54,7.999058,westwood,westwood,33.607,67.02,56.145,122.0,24.0,26.905
55,8.086772,veno,veno,7.011,50.592,29.034,71.0,31.0,1.9517999999999995
56,8.206982,westwood,westwood,11.065,60.952,47.844,178.0,0.0,4.969799999999999
57,8.272152,westwood,westwood,25.876,60.144,46.906,201.0,0.0,19.861600000000003
58,8.3354,westwood,westwood,31.127,93.535,54.986,271.0,0.0,21.7735
59,8.440251,illinois,illinois,10.308,31.604,29.877,194.0,0.0,7.1476
60,8.514691,westwood,westwood,33.217,69.057,58.172,114.0,18.0,26.3113
61,8.623578,illinois,illinois,11.971,97.136,36.874,101.0,12.0,2.2574000000000005
62,8.755048,westwood,westwood,3.729,115.608,47.474,122.0,0.0,-7.8318
63,8.907918,westwood,westwood,5.313,127.273,45.167,122.0,0.0,-7.4143
64,9.045394,westwood,westwood,27.481,106.976,42.191,184.0,0.0,16.7834
65,9.199051,westwood,westwood,10.041,134.453,51.638,276.0,0.0,-3.404300000000001
66,9.367193,veno,veno,1.565,134.465,73.017,53.0,37.0,-11.8815
67,9.51537,veno,veno,0.388,145.527,89.125,53.0,2.0,-14.1647
68,9.654105,westwood,westwood,2.494,128.933,62.763,250.0,0.0,-10.3993
69,9.79758,westwood,westwood,31.823,115.07,44.154,319.0,0.0,20.316000000000003
70,9.931017,westwood,westwood,21.088,99.113,47.356,85.0,30.0,11.1767
